0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar
4058.222341568206,13325.31364124597,15158.0,1.4091180969693682e-16,1.8798849443979555e-16,1.4297401286589943e-16,415.682062298604,3.6641295830599835e-16,3.6559021727519047e-16
3756.5111094839917,11430.7469934587,14522.473965520858,488.32495539117826,6111.2918528517885,4.639791244505321e-05,705.765048446972,0.00014218216215282353,1768.6999995413976
5618.750114817435,14128.05550791774,15520.2475970204,2.3055558117344983e-11,1.4191042942427033e-11,1.688126554744405e-11,1014.4170277828819,564.5153343187634,1022.5449605525695
5408.054220634083,14121.742201493227,15602.783493063705,776.6049341386376,666.7415386436971,545.4223218751945,5.5317632810024524e-14,5.2719376390121695e-14,5.821241121182552e-14
6999.747123824494,15674.342798595806,16992.951314609,2.0674886409550834e-10,1.7453721484045857e-10,1.823371708340512e-10,2.4216554182407944e-10,2.490726735645578e-10,2.585794737510437e-10
3668.150422792159,11853.53964467536,15193.06386177992,2704.9180356587244,4626.063362006475,4.965362837485823e-06,4.777601997028502e-07,5.962649909527333e-07,7.747631218988529e-07
3838.756045010257,12478.389830507213,14417.112202070357,4.853634115760493e-10,3.682365261900516e-10,3.042379304244924e-10,6663.620925639033,3050.847457636799,5587.598666748155
7031.838871779929,15662.479408770854,16972.722956478894,1.9491101779984567e-10,1.6941254212736283e-10,1.6916840698448857e-10,2.214233676511683e-10,2.1169603177102585e-10,2.3419267173858775e-10
3838.7560471423903,12478.3898294832,14417.112200955717,3.5231356633909215e-08,2.773404588493789e-08,2.3881657309919245e-08,6663.620922322979,3050.8474575705845,5587.59866964656
6199.475480836457,12684.543827774633,13918.980690143464,3.9874377188607243e-07,3.708871683401186e-07,3.988093265939476e-07,8.787519646251711e-07,6.171886216965608e-07,7.080325991208657e-07
5049.761853227738,12466.249981652158,13707.075708386154,1.1350581391207575e-06,1.176725205018145e-06,1.1072479661958771e-06,2511.7845053961805,2.116555006521418e-06,2.9844153049696784e-06
7023.886709621022,15633.308718381519,17009.845809023278,1.9357240924099475e-10,1.2556779181434156e-10,1.3248969833019007e-10,4.212444398507542e-09,1.049504750900293e-09,2.218961472899572e-09
3838.756045516673,12478.38983025215,14417.112201816848,8.714478100762531e-09,6.9169022327369105e-09,6.013136962810419e-09,6663.62092467576,3050.8474580033867,5587.5986672033505
7010.721334105213,15599.94718607621,17056.37271684059,5.291649080724214e-10,3.3952602865707296e-10,3.6929175174652343e-10,5.142045905390247e-09,1.7565653905385337e-09,3.500123941114347e-09
3905.1612898832313,13394.999993892001,14424.83711896452,2.7435259365420224e-07,2.5429265550252133e-07,2.4760226938433405e-07,6566.820275712669,1.8001339069614528e-05,7486.515226216047
7011.142546230235,15674.33670966188,16981.56198113816,1.1341371667760586e-10,9.996731587869675e-11,9.908235898956931e-11,1.449746166485525e-10,1.3471402929266484e-10,1.5223979450132083e-10
7036.184509791887,15652.953334072023,16977.903393163127,5.206389975176071e-10,4.757255885881259e-10,4.800485634546582e-10,5.155924172849102e-10,5.415979373963806e-10,5.582909638063294e-10
7015.483497953809,15667.18979565759,16984.367943418663,1.3849057656418508e-10,1.230672512004703e-10,1.2163355081983278e-10,1.6955334187986233e-10,1.592604089242517e-10,1.7864340735862516e-10
7014.169709578921,15661.933060653639,16990.93846679402,5.621886139126411e-10,4.918882145132572e-10,5.038865988956504e-10,5.489128592850792e-10,5.731051526359707e-10,6.069304126117558e-10
7008.485779673751,15675.232343034704,16983.32311432189,1.0597337016162584e-10,9.36392155899109e-11,9.269225488615744e-11,1.371971826240586e-10,1.280489775356327e-10,1.4434666884086816e-10
5058.012119392839,12450.694768772848,13714.380653947987,5.231621711750144e-09,5.322022661178487e-09,5.272480575572324e-09,2511.784511723374,9.064280984402703e-09,1.2505117371643454e-08
6088.9477938802665,12737.512032513603,13976.132444912284,0.07460572966509016,0.07706584811491357,0.0754117576195199,0.3332706359853894,0.15277000998225176,0.17438197083229134
