0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar,co2_emission,objective_value,transmission
371.46706278866986,5826.044769267956,9080.506640414624,35989.15862630079,96826.09616101111,0.0,0.0,0.0,11164.949985397687,32944.65356902362,12547819695.646244,16161.956286769066
5404.02099596456,2605.8820605282863,3146.312485268655,3666.0895831196094,154093.35750651037,0.0,0.0,0.0,0.0,32944.653569023816,13802601665.21087,16018.97598344789
8362.0601650685,5630.4012450758655,2193.2348847926733,36615.86044785315,88439.33752761211,0.0,0.0,16303.436927414252,42402.537046735466,32944.653569023045,13802601665.210867,16317.301317300222
20919.532005792735,4652.8212505410265,2955.106620833089,51534.80711967332,89706.66994049345,0.0,0.0,0.0,0.0,32944.65356902356,13802601665.210869,21154.000368305515
0.0,3437.3663278235854,37352.93584629848,44249.617009774876,88631.86521235199,0.0,0.0,0.0,11208.937632363937,32944.65356902358,13802601665.210867,15920.267842074318
1676.780821917808,2682.0624586270496,8786.901526750367,16812.785388127853,73380.9670141178,80350.19947839355,0.0,0.0,0.0,32944.65356902358,13802601665.210865,1930.658609744371
6451.723508207409,7727.624983176929,1369.8551075145097,23557.244624274503,102847.68379661845,0.0,0.0,0.0,59715.50561749607,32944.65356902356,13802601665.21087,14884.047185306674
2254.2831050228306,2132.815883284519,8758.645818987934,16812.785388127853,73380.96701411808,80350.19947839306,0.0,0.0,0.0,32944.653569023576,13802601665.210857,1930.6586097444547
6451.723508207413,5529.7366041383075,3567.74348655319,23557.244624274517,102847.68379661845,0.0,0.0,0.0,59715.50561749581,32944.65356902358,13802601665.210863,14884.047185306677
3544.3716831140364,2122.71532577638,8422.825217265994,13467.023026315785,86469.58432128497,52483.39489268236,760.0877192982464,0.0,28541.98942176316,32944.6535690236,13802601665.210863,4906.075932394346
6865.186825633206,8243.319727195838,493.6555800599875,23912.74730253283,102152.09980615137,0.0,0.0,0.0,59624.04266396669,32944.65356902304,13802601665.210869,15234.782149992503
7078.291800276004,2081.3375310415104,2027.5128303049503,0.0,156291.8779170477,0.0,0.0,0.0,0.0,32944.6535690236,13802601665.21087,17466.291800276005
11276.777972699809,1488.544570603336,1619.9282458695934,32637.003156690946,106776.40486728765,0.0,0.0,0.0,0.0,32944.653569023554,13802601665.21087,32249.236753955323
1565.3089780042746,2776.196981176519,36284.583370837834,42741.00441687669,91474.4975660918,0.0,0.0,0.0,8559.630343727948,32944.653569023576,13802601665.210869,16007.551773566756
32041.571321606898,4341.505959180744,4243.012049230976,42741.00441687676,91474.49756609167,0.0,0.0,0.0,8559.63034372798,32944.65356902361,13802601665.210869,16007.551773566756
31039.307303574442,4766.004975398126,4117.732921054256,50487.73952084779,86223.62172770863,0.0,0.0,0.0,5168.629756609347,32944.65356902357,13802601665.210869,15653.856131646018
11334.40552784188,1579.677549570606,1534.0461165121706,32883.310419583795,106068.72925299834,0.0,0.0,0.0,650.7945143550703,32944.65356902353,13802601665.210873,32346.69708691308
