0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar,co2_emission,objective_value,transmission
2733.0,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1242940217.9222846,0.0
2732.9999999999986,10385.799761332388,10983.0,0.0,1935.0887660860171,0.0,0.0,0.0,0.0,9453.166934219553,1367234239.7145128,0.0
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
2733.0,9186.219809219065,12623.780190780935,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,1640.7801907809358
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
2733.0,10385.799761332388,10983.0,0.0,1935.08876608602,0.0,0.0,0.0,0.0,9453.166934219553,1367234239.714513,0.0
2733.0,10827.0,13486.925324151942,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
4373.780190780938,10827.0,9342.219809219063,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.714513,1640.780190780938
2733.0,10813.691876177056,10983.0,0.0,0.0,0.0,0.0,3327.030955736419,0.0,9599.215125706232,1367234239.714513,0.0
2733.0,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1242940217.9222846,0.0
5236.925324151942,10827.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,9607.2,1367234239.7145128,0.0
