0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar,co2_emission,objective_value
2662.500000000207,3029.165829146415,10912.499999998734,7.761237554667295e-15,42540.201005039446,4.4834009201058936e-15,0.0,3.339918789051182e-15,3.466920581476248e-15,6220.999999999638,4073432674.528761
2662.4999999999864,1826.5637947888897,10740.99999999994,1.8772920608573432e-12,48605.50708947753,1.3399945535685513e-12,0.0,3.2178068455846603e-13,2.923024411412148e-13,5738.201635677608,4480775941.981636
2662.499999999806,2995.8430839807793,10912.499999999915,2.540304872465177e-12,42190.66172008029,1.3579354184521501e-12,0.0,11593.052950650706,2.816572423899942e-11,6221.0000000000055,4480775941.981637
3451.778934695323,4497.144975359865,10639.552804366433,4239.499420739963,37641.89013676006,3184.517319768636,0.0,1.5028336670743522e-10,1.492442127523576e-10,6220.122573426967,4480775941.981639
6329.659275074414,5955.787032911147,12739.89672236658,6.938322259179147e-08,42540.2010049455,2.436187451315512e-08,0.0,2.069271095252634e-09,1.969045695455118e-09,6220.999999999993,4480775941.98164
2662.5000000000073,2995.843083980948,10912.499999999887,5.84327186729441e-14,42190.66172008085,3.0195559131689724e-14,2.254203366678614e-13,11593.052950650228,8.807361990725039e-13,6221.0000000000055,4480775941.981638
2662.499999999775,1997.4637554864428,10912.49999997198,1.7403232314383804e-09,48609.03673226821,4.4524515166939233e-10,0.0,9.306220835237307e-12,9.282689348935634e-12,5760.892751097272,4480775941.981636
5350.697495894542,6288.406342499894,13386.239191924486,1.924661395291986e-12,42540.20100506659,7.542136588551413e-13,0.0,4.5362834124496996e-14,4.284527872893915e-14,6221.0000000000055,4480775941.981637
2662.4999999888837,1997.4637548063874,10912.499999273065,7.456355846993667e-08,48609.03673216725,1.305929708479814e-08,2.6381682359386725e-10,2.695478262405512e-10,2.655303687199796e-10,5760.892750962983,4480775941.981636
2662.4999999998763,1826.5637947884588,10741.000000000275,1.7181769433943724e-12,48605.50708947799,2.2959166139381317e-12,0.0,1.2865235650652152e-14,1.2630419370451857e-14,5738.2016356778,4480775941.981636
3162.6931080951963,2564.21741708468,10534.255303965605,3.4655432813698356e-13,42540.2010050234,2.2249869147946936e-13,0.0,1.0924851164656338e-13,1.0502924564922867e-13,6221.0000000000055,4480775941.981638
3029.9519619106286,10603.399741845036,11391.99132658328,2.8540330113124845e-08,42540.20100500273,1.091749991972979e-08,0.0,1.9757718265275837e-09,1.901046900194131e-09,6220.9999999999945,4480775941.981639
6070.088760812349,5353.896044425812,13601.35822514407,2.036061270314037e-12,42540.20100502505,7.616059574254942e-13,0.0,1.0805468236391967e-13,9.86092445523259e-14,6221.0000000000055,4480775941.981636
6026.406338940261,5789.5240506923765,13209.412640759858,1.2824063208918823e-11,42540.20100501832,3.5666798947304264e-12,0.0,1.8399503500033304e-12,1.912316416093215e-12,6221.000000000005,4480775941.981634
3157.749048468517,2556.746916800885,10546.669863876092,3.5325068383114897e-13,42540.20100502349,2.276086796985722e-13,0.0,1.042095316916627e-13,1.0030528390125271e-13,6221.0000000000055,4480775941.981638
3157.749048468517,2556.746916800885,10546.669863876092,3.5325068383114897e-13,42540.20100502349,2.276086796985722e-13,0.0,1.042095316916627e-13,1.0030528390125271e-13,6221.0000000000055,4480775941.981638
