0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar
4058.222341568208,13325.313641245953,15158.0,6.654571445057297e-13,7.8718044882469e-13,6.032862779359688e-13,415.68206229860107,1.8682230407155657e-12,1.8158439797305126e-12
3756.5110675868923,11430.746991660277,14522.47399542213,488.32498587587054,6111.291976520444,9.952045989952724e-10,705.765137189079,6.827065555834782e-09,1768.6998870342227
5618.9223808738825,14127.261524483843,15519.9672182824,8.588670954239147e-10,5.286510969735155e-10,6.288627643793937e-10,1013.0064148924043,564.8979204210806,1025.9774312529585
5408.086777126747,14121.795485728708,15602.787195350176,776.5917230647782,666.7390883667392,545.4108702039954,3.9229978895835056e-11,3.738695943509242e-11,4.128225212023429e-11
6999.70817992989,15674.36361390139,16992.969441287063,2.0198258598926478e-07,1.705043543653124e-07,1.7811850957103674e-07,2.3657138927969776e-07,2.4333236221381837e-07,2.525757139826821e-07
3669.44114404349,11854.830364349806,15190.482420269293,2704.9180352529734,4626.063368387519,4.343470659251558e-07,3.854566867685788e-08,6.692416097339726e-08,8.334458626371721e-08
3838.7560447601813,12478.389830501184,14417.112202354652,7.894562067113734e-09,6.401267144974872e-09,5.438606490423236e-09,6663.620935940503,3050.847457614047,5587.5986563989045
7031.8365282395,15662.482293925323,16972.72241329394,1.9322369148038095e-07,1.6794519764278372e-07,1.677023979658541e-07,2.1950634343005388e-07,2.0986283637692942e-07,2.3216223593946583e-07
3838.7560450082583,12478.389830508402,14417.112202070908,2.651821114111778e-10,2.1291869622325434e-10,1.7991918069398138e-10,6663.620925645885,3050.847457626858,5587.598666754382
5563.696381088569,12966.530736662375,14272.772882183295,1.9425438231550357e-08,1.7696718948772628e-08,1.4284348571767981e-08,5.985388454416113e-08,2.7242201077503953e-08,4.406621595764537e-08
5063.492371116357,12450.359061043822,13709.236109927251,2.187603870544997e-08,2.237941206960012e-08,2.172812558776929e-08,2511.78451170347,3.6543377980073556e-08,5.052320587088199e-08
3838.7560447593173,12478.389830501184,14417.112202355624,7.891465405106444e-09,6.39872628965254e-09,5.436452096173466e-09,6663.6209359748855,3050.8474576140534,5587.5986563644865
7023.848377172797,15633.3653688548,17009.827485645787,1.890315897460043e-07,1.2262377019179953e-07,1.293793302100093e-07,4.117129079472467e-06,1.025507080856889e-06,2.1684602426854174e-06
3838.7560450070678,12478.389830507958,14417.112202071956,1.7426290354223573e-09,1.4152026954064078e-09,1.217809473632025e-09,6663.620925687782,3050.8474576253316,5587.598666703975
3669.4411412188615,11854.830361442457,15190.482425977514,2704.9180350512993,4626.063368634166,4.0490022766570544e-07,3.5929703399995017e-08,6.240818355499056e-08,7.770776067582419e-08
3669.441139490537,11854.830359797515,15190.482429376283,2704.9180352449657,4626.063368380952,4.4388261954964037e-07,3.94800356321931e-08,6.85835397345319e-08,8.531273093873026e-08
3669.441140827897,11854.83036105766,15190.48242675532,2704.9180350646743,4626.063368614969,4.087085673232238e-07,3.6280449687911553e-08,6.301773794285814e-08,7.845593926261718e-08
7011.137762498228,15674.33737469592,16981.566098848194,1.1151499708048909e-07,9.829452587661294e-08,9.742278937198944e-08,1.4255536335216167e-07,1.324664360362977e-07,1.4969740384700799e-07
3669.441137978169,11854.83035835461,15190.482432352972,2704.918035405278,4626.06336816952,4.773689776804702e-07,4.2536353716225717e-08,7.389774323539322e-08,9.185221744312244e-08
5048.029133569433,13274.257286811891,14462.932994202934,6.187749849222545,6.17760454497431,6.8389528848818095,12.583643069912402,10.52820739641551,14.139674514595661
3669.441139553729,11854.830359946594,15190.48242918986,2704.9180354469977,4626.063368121358,4.815887668513374e-07,4.28960524965355e-08,7.452482112500769e-08,9.264625855723296e-08
5062.423286195387,12451.513977020055,13709.150278872627,5.558698814948497e-08,5.68677520356467e-08,5.521403149535216e-08,2511.784511577289,9.286484742464436e-08,1.283922454681306e-07
6067.331662148901,12751.985204153792,13983.683132852904,2.2730267083891252e-07,2.096818149930523e-07,2.2434409186049704e-07,6.22553376887101e-07,3.5905287407549057e-07,4.215752195094703e-07
3669.441137685688,11854.830358436346,15190.482432676385,2704.9180362853544,4626.063367038321,6.418709648514653e-07,5.741369300728966e-08,9.978024249381046e-08,1.2381858148675928e-07
5684.041698429432,12415.186529879496,13123.859313735002,3.91716662549331e-08,4.616136343958321e-08,4.384375567721715e-08,2511.784511658309,8.447142868538169e-08,1.3048913552729404e-07
4753.98196578217,12807.097012360131,13662.008563944975,2.8421680356739247e-10,3.972630992726333e-10,3.305279710139104e-10,2511.7845117838656,3.5536358058306237e-10,5.489356439517056e-10
3669.3977168713973,11854.786937198267,15190.569274608426,2704.918034166718,4626.063367466661,1.8066799632894797e-06,2.570820667872862e-07,3.3742302829923264e-07,4.142722126968413e-07
3669.4411380245565,11854.830358492145,15190.482432196339,2704.9180356205416,4626.063367894438,5.165448468402722e-07,4.607544106232514e-08,8.00553630938422e-08,9.946011295461354e-08
3669.441139413394,11854.8303597667,15190.482429498166,2704.918035354021,4626.06336824096,4.6413467798267494e-07,4.131585930756271e-08,7.177570951651113e-08,8.925359070051375e-08
3838.756044759729,12478.389830501188,14417.112202355158,7.891110981765928e-09,6.3984514451361925e-09,5.436217507504412e-09,6663.620935958364,3050.8474576140316,5587.59865638103
3905.16129032258,13394.99999999987,14424.837119078535,1.0329865169286258e-11,8.204084582706336e-12,8.335224727429639e-12,6566.820276497615,4.139656205174626e-10,7486.51523685842
3905.16129032258,13394.999999999873,14424.837119078533,1.0217863158023762e-11,8.114505485121572e-12,8.244409766423183e-12,6566.820276497617,4.0936076560861914e-10,7486.515236858522
3838.7560448426443,12478.389830503616,14417.11220226035,5.2609867184536755e-09,4.26582927877266e-09,3.624309172273203e-09,6663.620932518696,3050.8474576183894,5587.598659841489
7010.72264311141,15599.945633759495,17056.372951030815,5.199862644555617e-07,3.336341705371406e-07,3.6287897459916793e-07,5.053213657338872e-06,1.726275802551875e-06,3.4397597194020177e-06
6366.983281120527,12768.335327596662,13665.249649660029,0.737886183833723,0.7243668997695885,0.8071629686178419,1.4981243779456932,1.2538247907684124,1.6438083164723452
3838.756045252003,12478.389830484888,14417.11220180933,3.492646438965691e-08,2.9558647905571523e-08,2.5895208405626736e-08,6663.620916564061,3050.847457649442,5587.598675381754
3838.7560447603432,12478.389830501173,14417.112202354483,7.89810321180817e-09,6.404147122435608e-09,5.441047624476219e-09,6663.6209359346385,3050.8474576140743,5587.598656404735
3669.441137870797,11854.830358138934,15190.482432643466,2704.918035150201,4626.0633684967315,4.301168632508956e-07,3.8268962509330207e-08,6.647355204301986e-08,8.267797148645006e-08
3669.441139498316,11854.83036063012,15190.48242878378,2704.918037187546,4626.063365888978,8.037154088647025e-07,7.201480629100837e-08,1.2518328500535358e-07,1.5522510720192284e-07
6982.497649186816,15655.54378483968,17028.99980240834,6.396601358049116e-08,5.507221828761631e-08,5.549730134123907e-08,7.822129456060611e-08,7.327932671300223e-08,8.149678121229193e-08
6947.309968718781,15724.272438758937,16995.458828107785,2.362376306911957e-07,1.6414350753997864e-07,1.6088701068167318e-07,1.6082888949561368e-07,1.523511819114399e-07,1.835172026795097e-07
5048.4427591268395,12028.000684569406,14146.64409839822,2.9208227609687495e-08,2.802111692276228e-08,2.5575732218492014e-08,2511.784511664921,4.355756055912316e-08,8.600286256544882e-08
3669.4411381198342,11854.830358549296,15190.48243203252,2704.918035530323,4626.06336800942,5.003458779240244e-07,4.461392361272687e-08,7.751179260592767e-08,9.63162825346614e-08
3669.441139687908,11854.830360068052,15190.482428930287,2704.91803541773,4626.063368160123,4.753508150989738e-07,4.2328730743591836e-08,7.3538176489224e-08,9.143095711615368e-08
3669.4411407307357,11854.830361060576,15190.482426879662,2704.9180353002557,4626.063368312565,4.524581768000635e-07,4.024007669526514e-08,6.990579108287487e-08,8.696011563093242e-08
3669.4411375532723,11854.830358036947,15190.482433127929,2704.9180356567863,4626.06336784504,5.251688562912804e-07,4.686430692124599e-08,8.142571769099993e-08,1.0114631935308205e-07
7018.96437728459,15673.678550538316,16974.398307613646,1.744223040037532e-07,1.5047222480789888e-07,1.5479144181528145e-07,2.4768124596462803e-07,2.3558197288967952e-07,2.6811405483284385e-07
7011.133432650681,15674.340484296163,16981.567319095797,1.1148317775609208e-07,9.82654953702748e-08,9.73932107687373e-08,1.4251950421285465e-07,1.3243118779956813e-07,1.4965751414514191e-07
7003.433472849955,15680.657589255878,16982.95017073363,5.34972337244634e-07,4.7403578258369255e-07,4.833668316530683e-07,4.709263243044535e-07,5.198648072537353e-07,5.222189919393619e-07
6067.518304014148,12752.887318875177,13982.594377106905,1.01419777249173e-09,9.355767900900454e-10,1.0010041624214377e-09,2.778549500338345e-09,1.6022094003636557e-09,1.8811617185275577e-09
5041.127887990147,13317.476702267017,14444.395409145363,1.4833605753704912e-07,1.4607374150321433e-07,1.489072556944257e-07,4.830419770199116e-07,2.469706094006838e-07,2.9027521721388576e-07
6085.845412395539,12740.046837690625,13977.10774988287,5.236062380560172e-09,5.5383561852799876e-09,5.31576178912943e-09,2.6089909633719748e-08,1.1689573899504528e-08,1.3050536971073365e-08
3838.7560447600545,12478.38983050118,14417.112202354801,7.893541652486983e-09,6.400434450816495e-09,5.437898837695282e-09,6663.6209359457835,3050.847457614046,5587.598656393548
3905.16129032258,13394.99999999987,14424.837119078535,1.0329865169286258e-11,8.204084582706336e-12,8.335224727429639e-12,6566.820276497615,4.139656205174626e-10,7486.51523685842
3905.161290322579,13394.999999999873,14424.837119078535,1.026434451282675e-11,8.150414432174947e-12,8.281202209498126e-12,6566.820276497615,4.110579802430771e-10,7486.515236858397
3838.7560448426443,12478.389830503616,14417.11220226035,5.2609867184536755e-09,4.26582927877266e-09,3.624309172273203e-09,6663.620932518696,3050.8474576183894,5587.598659841489
7010.722677069438,15599.944854344356,17056.37369648709,5.20047499008797e-07,3.3367363137912394e-07,3.6292229374659075e-07,5.053564983876178e-06,1.726399097388238e-06,3.4400534738754547e-06
3838.7560447594747,12478.38983050119,14417.112202355444,7.889172304480883e-09,6.396869953590568e-09,5.434876204740432e-09,6663.620935968397,3050.8474576140306,5587.598656370989
3867.2716650756156,12387.923076904719,14470.936438560018,1.0276598215933002e-08,7.3351821010898396e-09,7.375584242237525e-09,6137.293084673502,5230.7692313501975,3819.4864352867917
3838.756046197444,12478.389830403064,14417.112200792475,1.5412390510875197e-07,1.3044153409186088e-07,1.142751536555695e-07,6663.620881100328,3050.847457755919,5587.59870920898
6194.666947931758,12684.957850089735,13923.375201898125,2.4051084497361992e-08,2.2676391786798978e-08,2.4035752268196245e-08,6.015896161853604e-08,3.7580820750707255e-08,4.3540373772867915e-08
5048.029133569433,13274.257286811891,14462.932994202934,6.187749849222545,6.17760454497431,6.8389528848818095,12.583643069912402,10.52820739641551,14.139674514595661
6367.047663119858,12768.21479368491,13665.305801960669,0.737885881647852,0.7243664222471686,0.8071625800477165,1.4981248590262055,1.253823672928938,1.6438079645807946
