0 ocgt,1 ocgt,2 ocgt,0 wind,1 wind,2 wind,0 solar,1 solar,2 solar,co2_emission,objective_value
2732.9999999999995,10827.000000000002,10983.000000000002,5.1570234938232636e-14,5.747215995489308e-14,3.987239271025566e-14,0.0,6.748496305492961e-14,6.591785405014786e-14,9607.199999999995,1242940217.9222846
2733.0000000000014,10385.799761332395,10983.0,8.309422577079385e-13,1935.0887660860067,3.2663226060129524e-13,0.0,1.9440490411803594e-13,1.8646677052183305e-13,9453.166934219627,1367234239.7145126
3499.114992172356,10765.754750084814,10952.10208742195,3.431469958861817e-15,3.548169413833316e-15,3.5156888520710426e-15,0.0,430.6247220627768,412.90046872137884,9606.94121651703,1367234239.7145133
3351.9659240694746,10753.633150572867,10955.718614591658,186.61941783104993,229.3278732013731,214.63471921265113,0.0,3.1597797263767325e-10,3.161943952850805e-10,9587.463595647647,1367234239.7145133
3641.3895304419493,11674.853608906526,11730.68218462107,1.2947473529943687e-08,1.3424679549435548e-08,1.3314813229400868e-08,0.0,2.6986738106346553e-08,2.7084935573865043e-08,9607.199999998653,1367234239.7145138
2733.0000000000055,10385.799761332399,10983.000000000005,1.793948117735243e-11,1935.088766085975,5.4816038801524234e-12,0.0,3.088827835400475e-13,3.052358878443253e-13,9453.16693421959,1367234239.7145128
2733.0000000000136,10813.69187617707,10983.000000000005,3.3826095451444316e-14,3.6358898584870707e-14,3.336433213648927e-14,5.408805111622478e-12,3327.0309557363125,5.6241368671286864e-11,9599.215125706247,1367234239.7145133
3933.6749162202186,10201.450563004622,10407.874520775164,1.0530907616676021e-10,1.1225038154621763e-10,9.375410552825656e-11,0.0,1.5034516371966862e-10,1.4886824057239962e-10,9607.19999999999,1367234239.7145128
3659.9837430845596,11645.059032797859,11741.882548087558,1.4321379708005788e-08,1.5140372522544354e-08,1.4898040074165508e-08,0.0,2.537330876482835e-08,2.546626900329363e-08,9607.199999998402,1367234239.7145135
3965.992159774447,10180.203931864984,10396.8039083571,4.824645911264595e-09,1.0211078377463375e-08,2.909372409668136e-09,0.0,1.0733384370907996e-10,1.054171517856213e-10,9607.199999999204,1367234239.7145123
2733.0000000000505,10813.69187617695,10983.000000000025,2.1158364028120283e-13,2.3853014081866707e-13,2.0135879119994129e-13,2.4431473024916597e-11,3327.030955736184,2.3771557196506287e-10,9599.215125706229,1367234239.7145126
