"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 11:30 - 01.01.2018 11:45","50852","49942"
"01.01.2018 11:45 - 01.01.2018 12:00","51823","50364"
"01.01.2018 12:00 - 01.01.2018 12:15","51064","50736"
"01.01.2018 12:15 - 01.01.2018 12:30","50948","51015"
"01.01.2018 12:30 - 01.01.2018 12:45","50660","51486"
"01.01.2018 12:45 - 01.01.2018 13:00","50197","51528"
"01.01.2018 13:00 - 01.01.2018 13:15","49845","51101"
"01.01.2018 13:15 - 01.01.2018 13:30","49182","50394"
"01.01.2018 13:30 - 01.01.2018 13:45","48718","50166"
"01.01.2018 13:45 - 01.01.2018 14:00","48191","49742"
"01.01.2018 14:00 - 01.01.2018 14:15","47782","49318"
"01.01.2018 14:15 - 01.01.2018 14:30","47295","49039"
"01.01.2018 14:30 - 01.01.2018 14:45","47199","48999"
"01.01.2018 14:45 - 01.01.2018 15:00","47133","49103"
"01.01.2018 15:00 - 01.01.2018 15:15","46825","48387"
"01.01.2018 15:15 - 01.01.2018 15:30","46975","48623"
"01.01.2018 15:30 - 01.01.2018 15:45","47197","48803"
"01.01.2018 15:45 - 01.01.2018 16:00","47196","48782"
"01.01.2018 16:00 - 01.01.2018 16:15","47769","49330"
"01.01.2018 16:15 - 01.01.2018 16:30","47984","50023"
"01.01.2018 16:30 - 01.01.2018 16:45","48068","51178"
"01.01.2018 16:45 - 01.01.2018 17:00","49838","52249"
"01.01.2018 17:00 - 01.01.2018 17:15","51269","53255"
"01.01.2018 17:15 - 01.01.2018 17:30","52076","53971"
"01.01.2018 17:30 - 01.01.2018 17:45","52696","54441"
"01.01.2018 17:45 - 01.01.2018 18:00","52979","54407"
"01.01.2018 18:00 - 01.01.2018 18:15","53437","54694"
"01.01.2018 18:15 - 01.01.2018 18:30","53509","54871"
"01.01.2018 18:30 - 01.01.2018 18:45","53388","55093"
"01.01.2018 18:45 - 01.01.2018 19:00","53202","54496"
"01.01.2018 19:00 - 01.01.2018 19:15","53047","53905"
"01.01.2018 19:15 - 01.01.2018 19:30","52574","53374"
"01.01.2018 19:30 - 01.01.2018 19:45","52269","53174"
"01.01.2018 19:45 - 01.01.2018 20:00","52096","53095"
"01.01.2018 20:00 - 01.01.2018 20:15","51406","52026"
"01.01.2018 20:15 - 01.01.2018 20:30","50661","51202"
"01.01.2018 20:30 - 01.01.2018 20:45","50108","50558"
"01.01.2018 20:45 - 01.01.2018 21:00","49568","49810"
"01.01.2018 21:00 - 01.01.2018 21:15","48922","49779"
"01.01.2018 21:15 - 01.01.2018 21:30","48916","49600"
"01.01.2018 21:30 - 01.01.2018 21:45","49780","49348"
"01.01.2018 21:45 - 01.01.2018 22:00","48337","49381"
"01.01.2018 22:00 - 01.01.2018 22:15","49030","49805"
"01.01.2018 22:15 - 01.01.2018 22:30","48562","49019"
"01.01.2018 22:30 - 01.01.2018 22:45","47817","48278"
"01.01.2018 22:45 - 01.01.2018 23:00","47044","47789"
"01.01.2018 23:00 - 01.01.2018 23:15","46274","46621"
"01.01.2018 23:15 - 01.01.2018 23:30","45667","45897"
"01.01.2018 23:30 - 01.01.2018 23:45","44887","45124"
"01.01.2018 23:45 - 02.01.2018 00:00","44638","44274"
"02.01.2018 00:00 - 02.01.2018 00:15","44427","43785"
"02.01.2018 00:15 - 02.01.2018 00:30","43825","42887"
"02.01.2018 00:30 - 02.01.2018 00:45","43444","42541"
"02.01.2018 00:45 - 02.01.2018 01:00","43355","41981"
"02.01.2018 01:00 - 02.01.2018 01:15","42874","41412"
"02.01.2018 01:15 - 02.01.2018 01:30","42558","40991"
"02.01.2018 01:30 - 02.01.2018 01:45","42363","40867"
"02.01.2018 01:45 - 02.01.2018 02:00","42125","40785"
"02.01.2018 02:00 - 02.01.2018 02:15","41770","40425"
"02.01.2018 02:15 - 02.01.2018 02:30","41819","40345"
"02.01.2018 02:30 - 02.01.2018 02:45","41720","40416"
"02.01.2018 02:45 - 02.01.2018 03:00","41735","40506"
"02.01.2018 03:00 - 02.01.2018 03:15","41798","40559"
"02.01.2018 03:15 - 02.01.2018 03:30","41942","40644"
"02.01.2018 03:30 - 02.01.2018 03:45","41969","40904"
"02.01.2018 03:45 - 02.01.2018 04:00","42176","40925"
"02.01.2018 04:00 - 02.01.2018 04:15","42683","41430"
"02.01.2018 04:15 - 02.01.2018 04:30","42997","41683"
"02.01.2018 04:30 - 02.01.2018 04:45","43462","42491"
"02.01.2018 04:45 - 02.01.2018 05:00","43964","42887"
"02.01.2018 05:00 - 02.01.2018 05:15","44999","43936"
"02.01.2018 05:15 - 02.01.2018 05:30","45748","44589"
"02.01.2018 05:30 - 02.01.2018 05:45","46892","45503"
"02.01.2018 05:45 - 02.01.2018 06:00","48264","47115"
"02.01.2018 06:00 - 02.01.2018 06:15","50951","49130"
"02.01.2018 06:15 - 02.01.2018 06:30","52804","51148"
"02.01.2018 06:30 - 02.01.2018 06:45","54742","52465"
"02.01.2018 06:45 - 02.01.2018 07:00","56139","54209"
"02.01.2018 07:00 - 02.01.2018 07:15","57749","56506"
"02.01.2018 07:15 - 02.01.2018 07:30","58913","57619"
"02.01.2018 07:30 - 02.01.2018 07:45","59887","58860"
"02.01.2018 07:45 - 02.01.2018 08:00","61068","59895"
"02.01.2018 08:00 - 02.01.2018 08:15","62028","61182"
"02.01.2018 08:15 - 02.01.2018 08:30","62186","61866"
"02.01.2018 08:30 - 02.01.2018 08:45","62533","62716"
"02.01.2018 08:45 - 02.01.2018 09:00","62542","62949"
"02.01.2018 09:00 - 02.01.2018 09:15","62442","63559"
"02.01.2018 09:15 - 02.01.2018 09:30","62800","63847"
"02.01.2018 09:30 - 02.01.2018 09:45","63016","64434"
"02.01.2018 09:45 - 02.01.2018 10:00","63702","64963"
"02.01.2018 10:00 - 02.01.2018 10:15","63924","65351"
"02.01.2018 10:15 - 02.01.2018 10:30","64361","65657"
"02.01.2018 10:30 - 02.01.2018 10:45","64967","66262"
"02.01.2018 10:45 - 02.01.2018 11:00","65153","66471"
"02.01.2018 11:00 - 02.01.2018 11:15","65386","66405"
"02.01.2018 11:15 - 02.01.2018 11:30","65649","66802"
"02.01.2018 11:30 - 02.01.2018 11:45","65879","67515"
"02.01.2018 11:45 - 02.01.2018 12:00","65856","67826"
"02.01.2018 12:00 - 02.01.2018 12:15","65506","67757"
"02.01.2018 12:15 - 02.01.2018 12:30","65750","67778"
"02.01.2018 12:30 - 02.01.2018 12:45","65469","68164"
"02.01.2018 12:45 - 02.01.2018 13:00","65670","68124"
"02.01.2018 13:00 - 02.01.2018 13:15","65505","67802"
"02.01.2018 13:15 - 02.01.2018 13:30","65325","67487"
"02.01.2018 13:30 - 02.01.2018 13:45","65027","67085"
"02.01.2018 13:45 - 02.01.2018 14:00","64309","66604"
"02.01.2018 14:00 - 02.01.2018 14:15","64043","66389"
"02.01.2018 14:15 - 02.01.2018 14:30","63699","66102"
"02.01.2018 14:30 - 02.01.2018 14:45","63678","65769"
"02.01.2018 14:45 - 02.01.2018 15:00","64018","65608"
"02.01.2018 15:00 - 02.01.2018 15:15","64408","65616"
"02.01.2018 15:15 - 02.01.2018 15:30","63355","65118"
"02.01.2018 15:30 - 02.01.2018 15:45","63238","64855"
"02.01.2018 15:45 - 02.01.2018 16:00","63039","64777"
"02.01.2018 16:00 - 02.01.2018 16:15","63467","64862"
"02.01.2018 16:15 - 02.01.2018 16:30","64208","65536"
"02.01.2018 16:30 - 02.01.2018 16:45","64783","66129"
"02.01.2018 16:45 - 02.01.2018 17:00","64350","67348"
"02.01.2018 17:00 - 02.01.2018 17:15","65071","68272"
"02.01.2018 17:15 - 02.01.2018 17:30","65134","68430"
"02.01.2018 17:30 - 02.01.2018 17:45","65620","68576"
"02.01.2018 17:45 - 02.01.2018 18:00","65377","68937"
"02.01.2018 18:00 - 02.01.2018 18:15","65166","68696"
"02.01.2018 18:15 - 02.01.2018 18:30","65267","68384"
"02.01.2018 18:30 - 02.01.2018 18:45","65119","68141"
"02.01.2018 18:45 - 02.01.2018 19:00","65174","67986"
"02.01.2018 19:00 - 02.01.2018 19:15","64756","67902"
"02.01.2018 19:15 - 02.01.2018 19:30","63978","67408"
"02.01.2018 19:30 - 02.01.2018 19:45","63455","66776"
"02.01.2018 19:45 - 02.01.2018 20:00","62929","65765"
"02.01.2018 20:00 - 02.01.2018 20:15","61736","64717"
"02.01.2018 20:15 - 02.01.2018 20:30","60223","63163"
"02.01.2018 20:30 - 02.01.2018 20:45","59715","62171"
"02.01.2018 20:45 - 02.01.2018 21:00","58934","61026"
"02.01.2018 21:00 - 02.01.2018 21:15","57888","60482"
"02.01.2018 21:15 - 02.01.2018 21:30","57414","59547"
"02.01.2018 21:30 - 02.01.2018 21:45","57313","59163"
"02.01.2018 21:45 - 02.01.2018 22:00","55990","58609"
"02.01.2018 22:00 - 02.01.2018 22:15","55818","58943"
"02.01.2018 22:15 - 02.01.2018 22:30","55151","58131"
"02.01.2018 22:30 - 02.01.2018 22:45","54093","57027"
"02.01.2018 22:45 - 02.01.2018 23:00","52765","56042"
"02.01.2018 23:00 - 02.01.2018 23:15","51620","54929"
"02.01.2018 23:15 - 02.01.2018 23:30","50546","53983"
"02.01.2018 23:30 - 02.01.2018 23:45","49572","53217"
"02.01.2018 23:45 - 03.01.2018 00:00","48787","52715"
"03.01.2018 00:00 - 03.01.2018 00:15","48801","51787"
"03.01.2018 00:15 - 03.01.2018 00:30","48408","51034"
"03.01.2018 00:30 - 03.01.2018 00:45","47843","50858"
"03.01.2018 00:45 - 03.01.2018 01:00","47217","50719"
"03.01.2018 01:00 - 03.01.2018 01:15","46531","50071"
"03.01.2018 01:15 - 03.01.2018 01:30","46132","49569"
"03.01.2018 01:30 - 03.01.2018 01:45","45746","49328"
"03.01.2018 01:45 - 03.01.2018 02:00","45488","49235"
"03.01.2018 02:00 - 03.01.2018 02:15","45261","48949"
"03.01.2018 02:15 - 03.01.2018 02:30","45068","49137"
"03.01.2018 02:30 - 03.01.2018 02:45","45056","49013"
"03.01.2018 02:45 - 03.01.2018 03:00","45025","49311"
"03.01.2018 03:00 - 03.01.2018 03:15","45081","49003"
"03.01.2018 03:15 - 03.01.2018 03:30","45106","49623"
"03.01.2018 03:30 - 03.01.2018 03:45","45151","50065"
"03.01.2018 03:45 - 03.01.2018 04:00","45205","50222"
"03.01.2018 04:00 - 03.01.2018 04:15","45540","50565"
"03.01.2018 04:15 - 03.01.2018 04:30","45855","51178"
"03.01.2018 04:30 - 03.01.2018 04:45","46242","51496"
"03.01.2018 04:45 - 03.01.2018 05:00","46725","52046"
"03.01.2018 05:00 - 03.01.2018 05:15","47728","52884"
"03.01.2018 05:15 - 03.01.2018 05:30","48188","53536"
"03.01.2018 05:30 - 03.01.2018 05:45","49003","54806"
"03.01.2018 05:45 - 03.01.2018 06:00","49980","56051"
"03.01.2018 06:00 - 03.01.2018 06:15","51948","57397"
"03.01.2018 06:15 - 03.01.2018 06:30","53544","59878"
"03.01.2018 06:30 - 03.01.2018 06:45","55079","61650"
"03.01.2018 06:45 - 03.01.2018 07:00","56588","63293"
"03.01.2018 07:00 - 03.01.2018 07:15","58254","64371"
"03.01.2018 07:15 - 03.01.2018 07:30","59378","64603"
"03.01.2018 07:30 - 03.01.2018 07:45","61550","65747"
"03.01.2018 07:45 - 03.01.2018 08:00","62527","67094"
"03.01.2018 08:00 - 03.01.2018 08:15","63532","67849"
"03.01.2018 08:15 - 03.01.2018 08:30","63988","68656"
"03.01.2018 08:30 - 03.01.2018 08:45","64202","69542"
"03.01.2018 08:45 - 03.01.2018 09:00","64223","69630"
"03.01.2018 09:00 - 03.01.2018 09:15","64400","70059"
"03.01.2018 09:15 - 03.01.2018 09:30","64629","70624"
"03.01.2018 09:30 - 03.01.2018 09:45","64785","70567"
"03.01.2018 09:45 - 03.01.2018 10:00","65105","70770"
"03.01.2018 10:00 - 03.01.2018 10:15","65402","71049"
"03.01.2018 10:15 - 03.01.2018 10:30","65698","71306"
"03.01.2018 10:30 - 03.01.2018 10:45","66019","72002"
"03.01.2018 10:45 - 03.01.2018 11:00","66156","72775"
"03.01.2018 11:00 - 03.01.2018 11:15","66390","72852"
"03.01.2018 11:15 - 03.01.2018 11:30","66767","73127"
"03.01.2018 11:30 - 03.01.2018 11:45","67040","73366"
"03.01.2018 11:45 - 03.01.2018 12:00","66761","73600"
"03.01.2018 12:00 - 03.01.2018 12:15","66618","72846"
"03.01.2018 12:15 - 03.01.2018 12:30","66800","73201"
"03.01.2018 12:30 - 03.01.2018 12:45","66633","72836"
"03.01.2018 12:45 - 03.01.2018 13:00","66853","72593"
"03.01.2018 13:00 - 03.01.2018 13:15","66775","72795"
"03.01.2018 13:15 - 03.01.2018 13:30","66578","72296"
"03.01.2018 13:30 - 03.01.2018 13:45","66281","71761"
"03.01.2018 13:45 - 03.01.2018 14:00","65473","71097"
"03.01.2018 14:00 - 03.01.2018 14:15","65322","71244"
"03.01.2018 14:15 - 03.01.2018 14:30","64954","70905"
"03.01.2018 14:30 - 03.01.2018 14:45","65073","70528"
"03.01.2018 14:45 - 03.01.2018 15:00","65339","70363"
"03.01.2018 15:00 - 03.01.2018 15:15","65966","70107"
"03.01.2018 15:15 - 03.01.2018 15:30","64822","70143"
"03.01.2018 15:30 - 03.01.2018 15:45","64614","69480"
"03.01.2018 15:45 - 03.01.2018 16:00","64529","69572"
"03.01.2018 16:00 - 03.01.2018 16:15","64937","70227"
"03.01.2018 16:15 - 03.01.2018 16:30","65636","70650"
"03.01.2018 16:30 - 03.01.2018 16:45","66502","70776"
"03.01.2018 16:45 - 03.01.2018 17:00","66154","72075"
"03.01.2018 17:00 - 03.01.2018 17:15","66957","72933"
"03.01.2018 17:15 - 03.01.2018 17:30","67084","73106"
"03.01.2018 17:30 - 03.01.2018 17:45","67531","73625"
"03.01.2018 17:45 - 03.01.2018 18:00","67392","73860"
"03.01.2018 18:00 - 03.01.2018 18:15","67153","73746"
"03.01.2018 18:15 - 03.01.2018 18:30","67312","73236"
"03.01.2018 18:30 - 03.01.2018 18:45","67037","72851"
"03.01.2018 18:45 - 03.01.2018 19:00","66990","72603"
"03.01.2018 19:00 - 03.01.2018 19:15","66593","72310"
"03.01.2018 19:15 - 03.01.2018 19:30","65978","71224"
"03.01.2018 19:30 - 03.01.2018 19:45","65317","70407"
"03.01.2018 19:45 - 03.01.2018 20:00","64823","69389"
"03.01.2018 20:00 - 03.01.2018 20:15","63482","68714"
"03.01.2018 20:15 - 03.01.2018 20:30","61674","67607"
"03.01.2018 20:30 - 03.01.2018 20:45","61116","66646"
"03.01.2018 20:45 - 03.01.2018 21:00","60344","65468"
"03.01.2018 21:00 - 03.01.2018 21:15","59420","65014"
"03.01.2018 21:15 - 03.01.2018 21:30","58832","64702"
"03.01.2018 21:30 - 03.01.2018 21:45","58662","63979"
"03.01.2018 21:45 - 03.01.2018 22:00","57680","63128"
"03.01.2018 22:00 - 03.01.2018 22:15","57786","63543"
"03.01.2018 22:15 - 03.01.2018 22:30","57201","62442"
"03.01.2018 22:30 - 03.01.2018 22:45","56022","61508"
"03.01.2018 22:45 - 03.01.2018 23:00","54828","60134"
"03.01.2018 23:00 - 03.01.2018 23:15","53585","59558"
"03.01.2018 23:15 - 03.01.2018 23:30","52547","58188"
"03.01.2018 23:30 - 03.01.2018 23:45","51581","56888"
"03.01.2018 23:45 - 04.01.2018 00:00","50714","56070"
"04.01.2018 00:00 - 04.01.2018 00:15","49635","54890"
"04.01.2018 00:15 - 04.01.2018 00:30","49037","53729"
"04.01.2018 00:30 - 04.01.2018 00:45","48397","53451"
"04.01.2018 00:45 - 04.01.2018 01:00","47681","52964"
"04.01.2018 01:00 - 04.01.2018 01:15","46945","52351"
"04.01.2018 01:15 - 04.01.2018 01:30","46616","52045"
"04.01.2018 01:30 - 04.01.2018 01:45","46306","51554"
"04.01.2018 01:45 - 04.01.2018 02:00","46147","51217"
"04.01.2018 02:00 - 04.01.2018 02:15","45718","50936"
"04.01.2018 02:15 - 04.01.2018 02:30","45598","50420"
"04.01.2018 02:30 - 04.01.2018 02:45","45734","50474"
"04.01.2018 02:45 - 04.01.2018 03:00","45733","50461"
"04.01.2018 03:00 - 04.01.2018 03:15","45728","50636"
"04.01.2018 03:15 - 04.01.2018 03:30","45803","50755"
"04.01.2018 03:30 - 04.01.2018 03:45","45888","50892"
"04.01.2018 03:45 - 04.01.2018 04:00","45924","51348"
"04.01.2018 04:00 - 04.01.2018 04:15","46302","51497"
"04.01.2018 04:15 - 04.01.2018 04:30","46619","51610"
"04.01.2018 04:30 - 04.01.2018 04:45","47009","52113"
"04.01.2018 04:45 - 04.01.2018 05:00","47498","52245"
"04.01.2018 05:00 - 04.01.2018 05:15","48682","53038"
"04.01.2018 05:15 - 04.01.2018 05:30","49106","53190"
"04.01.2018 05:30 - 04.01.2018 05:45","50034","54358"
"04.01.2018 05:45 - 04.01.2018 06:00","51103","55571"
"04.01.2018 06:00 - 04.01.2018 06:15","53294","56804"
"04.01.2018 06:15 - 04.01.2018 06:30","55173","58163"
"04.01.2018 06:30 - 04.01.2018 06:45","56615","59937"
"04.01.2018 06:45 - 04.01.2018 07:00","57845","61671"
"04.01.2018 07:00 - 04.01.2018 07:15","59645","63555"
"04.01.2018 07:15 - 04.01.2018 07:30","60283","64783"
"04.01.2018 07:30 - 04.01.2018 07:45","60514","65399"
"04.01.2018 07:45 - 04.01.2018 08:00","61759","66362"
"04.01.2018 08:00 - 04.01.2018 08:15","62614","67838"
"04.01.2018 08:15 - 04.01.2018 08:30","63003","67792"
"04.01.2018 08:30 - 04.01.2018 08:45","63362","67906"
"04.01.2018 08:45 - 04.01.2018 09:00","63323","67995"
"04.01.2018 09:00 - 04.01.2018 09:15","63908","67500"
"04.01.2018 09:15 - 04.01.2018 09:30","64247","67889"
"04.01.2018 09:30 - 04.01.2018 09:45","64580","68023"
"04.01.2018 09:45 - 04.01.2018 10:00","64676","68319"
"04.01.2018 10:00 - 04.01.2018 10:15","64718","68733"
"04.01.2018 10:15 - 04.01.2018 10:30","65264","69173"
"04.01.2018 10:30 - 04.01.2018 10:45","65344","69500"
"04.01.2018 10:45 - 04.01.2018 11:00","65412","69969"
"04.01.2018 11:00 - 04.01.2018 11:15","66020","70038"
"04.01.2018 11:15 - 04.01.2018 11:30","66218","70481"
"04.01.2018 11:30 - 04.01.2018 11:45","66611","70495"
"04.01.2018 11:45 - 04.01.2018 12:00","66729","70369"
"04.01.2018 12:00 - 04.01.2018 12:15","66514","70322"
"04.01.2018 12:15 - 04.01.2018 12:30","66557","70430"
"04.01.2018 12:30 - 04.01.2018 12:45","66405","70110"
"04.01.2018 12:45 - 04.01.2018 13:00","66384","69922"
"04.01.2018 13:00 - 04.01.2018 13:15","66503","69924"
"04.01.2018 13:15 - 04.01.2018 13:30","65972","69611"
"04.01.2018 13:30 - 04.01.2018 13:45","65608","69184"
"04.01.2018 13:45 - 04.01.2018 14:00","64828","68467"
"04.01.2018 14:00 - 04.01.2018 14:15","64734","68130"
"04.01.2018 14:15 - 04.01.2018 14:30","64317","68091"
"04.01.2018 14:30 - 04.01.2018 14:45","64487","67755"
"04.01.2018 14:45 - 04.01.2018 15:00","64666","67355"
"04.01.2018 15:00 - 04.01.2018 15:15","64944","67523"
"04.01.2018 15:15 - 04.01.2018 15:30","64043","67276"
"04.01.2018 15:30 - 04.01.2018 15:45","64026","66873"
"04.01.2018 15:45 - 04.01.2018 16:00","63928","66631"
"04.01.2018 16:00 - 04.01.2018 16:15","64207","66797"
"04.01.2018 16:15 - 04.01.2018 16:30","64620","67074"
"04.01.2018 16:30 - 04.01.2018 16:45","65261","67572"
"04.01.2018 16:45 - 04.01.2018 17:00","65616","68482"
"04.01.2018 17:00 - 04.01.2018 17:15","66634","68899"
"04.01.2018 17:15 - 04.01.2018 17:30","66914","69012"
"04.01.2018 17:30 - 04.01.2018 17:45","67465","69495"
"04.01.2018 17:45 - 04.01.2018 18:00","67456","69535"
"04.01.2018 18:00 - 04.01.2018 18:15","66944","69194"
"04.01.2018 18:15 - 04.01.2018 18:30","67086","68492"
"04.01.2018 18:30 - 04.01.2018 18:45","66716","68564"
"04.01.2018 18:45 - 04.01.2018 19:00","66590","68232"
"04.01.2018 19:00 - 04.01.2018 19:15","66297","68068"
"04.01.2018 19:15 - 04.01.2018 19:30","65727","67412"
"04.01.2018 19:30 - 04.01.2018 19:45","65217","67014"
"04.01.2018 19:45 - 04.01.2018 20:00","64669","66728"
"04.01.2018 20:00 - 04.01.2018 20:15","63252","66040"
"04.01.2018 20:15 - 04.01.2018 20:30","61704","65072"
"04.01.2018 20:30 - 04.01.2018 20:45","61042","64713"
"04.01.2018 20:45 - 04.01.2018 21:00","60361","63905"
"04.01.2018 21:00 - 04.01.2018 21:15","59452","63154"
"04.01.2018 21:15 - 04.01.2018 21:30","58910","62364"
"04.01.2018 21:30 - 04.01.2018 21:45","58775","61525"
"04.01.2018 21:45 - 04.01.2018 22:00","57907","61415"
"04.01.2018 22:00 - 04.01.2018 22:15","58094","62019"
"04.01.2018 22:15 - 04.01.2018 22:30","57231","61434"
"04.01.2018 22:30 - 04.01.2018 22:45","56244","60592"
"04.01.2018 22:45 - 04.01.2018 23:00","55205","59582"
"04.01.2018 23:00 - 04.01.2018 23:15","53974","58218"
"04.01.2018 23:15 - 04.01.2018 23:30","52935","56854"
"04.01.2018 23:30 - 04.01.2018 23:45","51974","55858"
"04.01.2018 23:45 - 05.01.2018 00:00","51165","54946"
"05.01.2018 00:00 - 05.01.2018 00:15","51831","53538"
"05.01.2018 00:15 - 05.01.2018 00:30","50972","53132"
"05.01.2018 00:30 - 05.01.2018 00:45","50446","52887"
"05.01.2018 00:45 - 05.01.2018 01:00","49765","52472"
"05.01.2018 01:00 - 05.01.2018 01:15","49122","51660"
"05.01.2018 01:15 - 05.01.2018 01:30","48577","51238"
"05.01.2018 01:30 - 05.01.2018 01:45","48483","50858"
"05.01.2018 01:45 - 05.01.2018 02:00","48185","50451"
"05.01.2018 02:00 - 05.01.2018 02:15","47806","50027"
"05.01.2018 02:15 - 05.01.2018 02:30","47602","50060"
"05.01.2018 02:30 - 05.01.2018 02:45","47647","50402"
"05.01.2018 02:45 - 05.01.2018 03:00","47656","50285"
"05.01.2018 03:00 - 05.01.2018 03:15","47699","50351"
"05.01.2018 03:15 - 05.01.2018 03:30","47602","50130"
"05.01.2018 03:30 - 05.01.2018 03:45","47654","50072"
"05.01.2018 03:45 - 05.01.2018 04:00","47766","50464"
"05.01.2018 04:00 - 05.01.2018 04:15","48174","51005"
"05.01.2018 04:15 - 05.01.2018 04:30","48415","51212"
"05.01.2018 04:30 - 05.01.2018 04:45","48764","51564"
"05.01.2018 04:45 - 05.01.2018 05:00","49131","52082"
"05.01.2018 05:00 - 05.01.2018 05:15","49890","52749"
"05.01.2018 05:15 - 05.01.2018 05:30","50241","52960"
"05.01.2018 05:30 - 05.01.2018 05:45","51068","54096"
"05.01.2018 05:45 - 05.01.2018 06:00","51971","55284"
"05.01.2018 06:00 - 05.01.2018 06:15","53332","56489"
"05.01.2018 06:15 - 05.01.2018 06:30","55045","58547"
"05.01.2018 06:30 - 05.01.2018 06:45","56177","60016"
"05.01.2018 06:45 - 05.01.2018 07:00","57545","61597"
"05.01.2018 07:00 - 05.01.2018 07:15","59164","63592"
"05.01.2018 07:15 - 05.01.2018 07:30","60204","64756"
"05.01.2018 07:30 - 05.01.2018 07:45","61906","65504"
"05.01.2018 07:45 - 05.01.2018 08:00","62859","66757"
"05.01.2018 08:00 - 05.01.2018 08:15","63891","67663"
"05.01.2018 08:15 - 05.01.2018 08:30","64093","67670"
"05.01.2018 08:30 - 05.01.2018 08:45","64301","67384"
"05.01.2018 08:45 - 05.01.2018 09:00","64506","67388"
"05.01.2018 09:00 - 05.01.2018 09:15","64814","67893"
"05.01.2018 09:15 - 05.01.2018 09:30","65338","68023"
"05.01.2018 09:30 - 05.01.2018 09:45","65260","68132"
"05.01.2018 09:45 - 05.01.2018 10:00","65774","68198"
"05.01.2018 10:00 - 05.01.2018 10:15","65829","68540"
"05.01.2018 10:15 - 05.01.2018 10:30","66163","68374"
"05.01.2018 10:30 - 05.01.2018 10:45","66347","68483"
"05.01.2018 10:45 - 05.01.2018 11:00","66698","68800"
"05.01.2018 11:00 - 05.01.2018 11:15","66863","69074"
"05.01.2018 11:15 - 05.01.2018 11:30","67057","69479"
"05.01.2018 11:30 - 05.01.2018 11:45","67362","70201"
"05.01.2018 11:45 - 05.01.2018 12:00","67662","70612"
"05.01.2018 12:00 - 05.01.2018 12:15","66762","70811"
