"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 00:00 - 01.01.2018 00:15","42237","44608"
"01.01.2018 00:15 - 01.01.2018 00:30","41456","43777"
"01.01.2018 00:30 - 01.01.2018 00:45","41009","43532"
"01.01.2018 00:45 - 01.01.2018 01:00","40521","43294"
"01.01.2018 01:00 - 01.01.2018 01:15","40034","43460"
"01.01.2018 01:15 - 01.01.2018 01:30","39615","43490"
"01.01.2018 01:30 - 01.01.2018 01:45","39221","43092"
"01.01.2018 01:45 - 01.01.2018 02:00","38966","43325"
"01.01.2018 02:00 - 01.01.2018 02:15","38600","43374"
"01.01.2018 02:15 - 01.01.2018 02:30","38486","42522"
"01.01.2018 02:30 - 01.01.2018 02:45","38366","42520"
"01.01.2018 02:45 - 01.01.2018 03:00","38295","41708"
"01.01.2018 03:00 - 01.01.2018 03:15","38204","41351"
"01.01.2018 03:15 - 01.01.2018 03:30","38231","41683"
"01.01.2018 03:30 - 01.01.2018 03:45","38273","41557"
"01.01.2018 03:45 - 01.01.2018 04:00","38335","41506"
"01.01.2018 04:00 - 01.01.2018 04:15","38475","41741"
"01.01.2018 04:15 - 01.01.2018 04:30","38574","41582"
"01.01.2018 04:30 - 01.01.2018 04:45","38629","41609"
"01.01.2018 04:45 - 01.01.2018 05:00","38570","41289"
"01.01.2018 05:00 - 01.01.2018 05:15","38911","41793"
"01.01.2018 05:15 - 01.01.2018 05:30","38707","41928"
"01.01.2018 05:30 - 01.01.2018 05:45","38690","41646"
"01.01.2018 05:45 - 01.01.2018 06:00","38366","41605"
"01.01.2018 06:00 - 01.01.2018 06:15","37603","41107"
"01.01.2018 06:15 - 01.01.2018 06:30","37870","40823"
"01.01.2018 06:30 - 01.01.2018 06:45","37824","40903"
"01.01.2018 06:45 - 01.01.2018 07:00","38082","40986"
"01.01.2018 07:00 - 01.01.2018 07:15","38434","41097"
"01.01.2018 07:15 - 01.01.2018 07:30","38869","41091"
"01.01.2018 07:30 - 01.01.2018 07:45","39620","41678"
"01.01.2018 07:45 - 01.01.2018 08:00","40698","41164"
"01.01.2018 08:00 - 01.01.2018 08:15","41561","41738"
"01.01.2018 08:15 - 01.01.2018 08:30","42075","41722"
"01.01.2018 08:30 - 01.01.2018 08:45","42643","42079"
"01.01.2018 08:45 - 01.01.2018 09:00","43254","42773"
"01.01.2018 09:00 - 01.01.2018 09:15","44312","43221"
"01.01.2018 09:15 - 01.01.2018 09:30","45197","44045"
"01.01.2018 09:30 - 01.01.2018 09:45","45599","45046"
"01.01.2018 09:45 - 01.01.2018 10:00","46087","45787"
"01.01.2018 10:00 - 01.01.2018 10:15","46917","45938"
"01.01.2018 10:15 - 01.01.2018 10:30","47723","46482"
"01.01.2018 10:30 - 01.01.2018 10:45","48218","47435"
"01.01.2018 10:45 - 01.01.2018 11:00","48844","47646"
"01.01.2018 11:00 - 01.01.2018 11:15","49587","48156"
"01.01.2018 11:15 - 01.01.2018 11:30","50225","49216"
