"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2017 00:30 - 02.01.2017 00:45","40674","37686"
"02.01.2017 00:45 - 02.01.2017 01:00","40096","37052"
"02.01.2017 01:00 - 02.01.2017 01:15","40700","36448"
"02.01.2017 01:15 - 02.01.2017 01:30","39605","36010"
"02.01.2017 01:30 - 02.01.2017 01:45","39574","35931"
"02.01.2017 01:45 - 02.01.2017 02:00","39278","35839"
"02.01.2017 02:00 - 02.01.2017 02:15","39454","35796"
"02.01.2017 02:15 - 02.01.2017 02:30","39378","35872"
"02.01.2017 02:30 - 02.01.2017 02:45","39201","35641"
"02.01.2017 02:45 - 02.01.2017 03:00","39138","35607"
"02.01.2017 03:00 - 02.01.2017 03:15","39479","35651"
"02.01.2017 03:15 - 02.01.2017 03:30","39644","35509"
"02.01.2017 03:30 - 02.01.2017 03:45","39509","36097"
"02.01.2017 03:45 - 02.01.2017 04:00","39659","36153"
"02.01.2017 04:00 - 02.01.2017 04:15","40155","36364"
"02.01.2017 04:15 - 02.01.2017 04:30","40797","36954"
"02.01.2017 04:30 - 02.01.2017 04:45","40842","37309"
"02.01.2017 04:45 - 02.01.2017 05:00","41359","37593"
"02.01.2017 05:00 - 02.01.2017 05:15","42305","38533"
"02.01.2017 05:15 - 02.01.2017 05:30","42865","39144"
"02.01.2017 05:30 - 02.01.2017 05:45","43746","40100"
"02.01.2017 05:45 - 02.01.2017 06:00","45000","41367"
"02.01.2017 06:00 - 02.01.2017 06:15","47785","43454"
"02.01.2017 06:15 - 02.01.2017 06:30","49833","45528"
"02.01.2017 06:30 - 02.01.2017 06:45","51233","47203"
"02.01.2017 06:45 - 02.01.2017 07:00","52866","48986"
"02.01.2017 07:00 - 02.01.2017 07:15","54377","50656"
"02.01.2017 07:15 - 02.01.2017 07:30","55475","51735"
"02.01.2017 07:30 - 02.01.2017 07:45","57679","53095"
"02.01.2017 07:45 - 02.01.2017 08:00","58117","54665"
"02.01.2017 08:00 - 02.01.2017 08:15","58378","56057"
"02.01.2017 08:15 - 02.01.2017 08:30","58919","56262"
"02.01.2017 08:30 - 02.01.2017 08:45","59983","56849"
"02.01.2017 08:45 - 02.01.2017 09:00","60284","57720"
"02.01.2017 09:00 - 02.01.2017 09:15","60122","57969"
"02.01.2017 09:15 - 02.01.2017 09:30","61191","58587"
"02.01.2017 09:30 - 02.01.2017 09:45","61688","64539"
"02.01.2017 09:45 - 02.01.2017 10:00","61752","64626"
"02.01.2017 10:00 - 02.01.2017 10:15","62512","64976"
"02.01.2017 10:15 - 02.01.2017 10:30","62964","65471"
"02.01.2017 10:30 - 02.01.2017 10:45","63168","65843"
"02.01.2017 10:45 - 02.01.2017 11:00","63630","66273"
"02.01.2017 11:00 - 02.01.2017 11:15","64209","66720"
"02.01.2017 11:15 - 02.01.2017 11:30","64315","66783"
"02.01.2017 11:30 - 02.01.2017 11:45","64663","66997"
"02.01.2017 11:45 - 02.01.2017 12:00","65072","67117"
"02.01.2017 12:00 - 02.01.2017 12:15","64116","66919"
"02.01.2017 12:15 - 02.01.2017 12:30","64181","66837"
"02.01.2017 12:30 - 02.01.2017 12:45","64439","66908"
"02.01.2017 12:45 - 02.01.2017 13:00","64376","66378"
"02.01.2017 13:00 - 02.01.2017 13:15","64618","66433"
"02.01.2017 13:15 - 02.01.2017 13:30","64111","65892"
"02.01.2017 13:30 - 02.01.2017 13:45","63636","65077"
"02.01.2017 13:45 - 02.01.2017 14:00","63425","64465"
"02.01.2017 14:00 - 02.01.2017 14:15","63075","64184"
"02.01.2017 14:15 - 02.01.2017 14:30","63218","64129"
"02.01.2017 14:30 - 02.01.2017 14:45","63050","64186"
"02.01.2017 14:45 - 02.01.2017 15:00","62883","63988"
"02.01.2017 15:00 - 02.01.2017 15:15","61950","63927"
"02.01.2017 15:15 - 02.01.2017 15:30","62503","63622"
"02.01.2017 15:30 - 02.01.2017 15:45","62731","63416"
"02.01.2017 15:45 - 02.01.2017 16:00","62445","63456"
"02.01.2017 16:00 - 02.01.2017 16:15","62247","63693"
"02.01.2017 16:15 - 02.01.2017 16:30","61561","63796"
"02.01.2017 16:30 - 02.01.2017 16:45","61140","64790"
"02.01.2017 16:45 - 02.01.2017 17:00","63443","65869"
"02.01.2017 17:00 - 02.01.2017 17:15","63859","67003"
"02.01.2017 17:15 - 02.01.2017 17:30","65050","67488"
"02.01.2017 17:30 - 02.01.2017 17:45","64489","67786"
"02.01.2017 17:45 - 02.01.2017 18:00","64974","67777"
"02.01.2017 18:00 - 02.01.2017 18:15","64399","67432"
"02.01.2017 18:15 - 02.01.2017 18:30","63603","67006"
"02.01.2017 18:30 - 02.01.2017 18:45","63460","66969"
"02.01.2017 18:45 - 02.01.2017 19:00","62793","67181"
"02.01.2017 19:00 - 02.01.2017 19:15","62241","66753"
"02.01.2017 19:15 - 02.01.2017 19:30","62551","66372"
"02.01.2017 19:30 - 02.01.2017 19:45","61197","66016"
"02.01.2017 19:45 - 02.01.2017 20:00","61442","65717"
"02.01.2017 20:00 - 02.01.2017 20:15","60437","63593"
"02.01.2017 20:15 - 02.01.2017 20:30","59339","62755"
"02.01.2017 20:30 - 02.01.2017 20:45","58042","61399"
"02.01.2017 20:45 - 02.01.2017 21:00","57438","60587"
"02.01.2017 21:00 - 02.01.2017 21:15","57070","59650"
"02.01.2017 21:15 - 02.01.2017 21:30","56724","59007"
"02.01.2017 21:30 - 02.01.2017 21:45","56842","58537"
"02.01.2017 21:45 - 02.01.2017 22:00","55696","58277"
"02.01.2017 22:00 - 02.01.2017 22:15","54928","58881"
"02.01.2017 22:15 - 02.01.2017 22:30","53732","58034"
"02.01.2017 22:30 - 02.01.2017 22:45","52695","57136"
"02.01.2017 22:45 - 02.01.2017 23:00","50822","56276"
"02.01.2017 23:00 - 02.01.2017 23:15","48954","55050"
"02.01.2017 23:15 - 02.01.2017 23:30","47840","54532"
"02.01.2017 23:30 - 02.01.2017 23:45","47940","53597"
"02.01.2017 23:45 - 03.01.2017 00:00","45105","52884"
"03.01.2017 00:00 - 03.01.2017 00:15","47169","52167"
"03.01.2017 00:15 - 03.01.2017 00:30","46780","51456"
"03.01.2017 00:30 - 03.01.2017 00:45","46233","50971"
"03.01.2017 00:45 - 03.01.2017 01:00","45716","49880"
"03.01.2017 01:00 - 03.01.2017 01:15","45122","49048"
"03.01.2017 01:15 - 03.01.2017 01:30","44798","48864"
"03.01.2017 01:30 - 03.01.2017 01:45","44433","48585"
"03.01.2017 01:45 - 03.01.2017 02:00","44080","48252"
"03.01.2017 02:00 - 03.01.2017 02:15","44001","47664"
"03.01.2017 02:15 - 03.01.2017 02:30","43931","47625"
"03.01.2017 02:30 - 03.01.2017 02:45","43927","47274"
"03.01.2017 02:45 - 03.01.2017 03:00","43999","47084"
"03.01.2017 03:00 - 03.01.2017 03:15","44160","47262"
"03.01.2017 03:15 - 03.01.2017 03:30","44214","47053"
"03.01.2017 03:30 - 03.01.2017 03:45","44080","47299"
"03.01.2017 03:45 - 03.01.2017 04:00","44073","47524"
"03.01.2017 04:00 - 03.01.2017 04:15","44646","47802"
"03.01.2017 04:15 - 03.01.2017 04:30","45119","48020"
"03.01.2017 04:30 - 03.01.2017 04:45","45329","48293"
"03.01.2017 04:45 - 03.01.2017 05:00","45870","48955"
"03.01.2017 05:00 - 03.01.2017 05:15","46655","49583"
