"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"09.04.2017 17:45 - 09.04.2017 18:00","47295","45454"
"09.04.2017 18:00 - 09.04.2017 18:15","47696","46224"
"09.04.2017 18:15 - 09.04.2017 18:30","48198","46750"
"09.04.2017 18:30 - 09.04.2017 18:45","48442","46974"
"09.04.2017 18:45 - 09.04.2017 19:00","48749","47105"
"09.04.2017 19:00 - 09.04.2017 19:15","49499","47275"
"09.04.2017 19:15 - 09.04.2017 19:30","49754","47418"
"09.04.2017 19:30 - 09.04.2017 19:45","49523","47802"
"09.04.2017 19:45 - 09.04.2017 20:00","49320","47854"
"09.04.2017 20:00 - 09.04.2017 20:15","50430","48932"
"09.04.2017 20:15 - 09.04.2017 20:30","50605","49440"
"09.04.2017 20:30 - 09.04.2017 20:45","49937","49917"
"09.04.2017 20:45 - 09.04.2017 21:00","50026","49654"
"09.04.2017 21:00 - 09.04.2017 21:15","49266","49342"
"09.04.2017 21:15 - 09.04.2017 21:30","49264","48833"
"09.04.2017 21:30 - 09.04.2017 21:45","48991","48475"
"09.04.2017 21:45 - 09.04.2017 22:00","48754","48439"
"09.04.2017 22:00 - 09.04.2017 22:15","48599","49065"
"09.04.2017 22:15 - 09.04.2017 22:30","48491","48514"
"09.04.2017 22:30 - 09.04.2017 22:45","47592","47840"
"09.04.2017 22:45 - 09.04.2017 23:00","46336","47184"
"09.04.2017 23:00 - 09.04.2017 23:15","45045","46808"
"09.04.2017 23:15 - 09.04.2017 23:30","44193","46010"
"09.04.2017 23:30 - 09.04.2017 23:45","43253","44893"
"09.04.2017 23:45 - 10.04.2017 00:00","42424","43937"
"10.04.2017 00:00 - 10.04.2017 00:15","41864","43271"
"10.04.2017 00:15 - 10.04.2017 00:30","41338","43007"
"10.04.2017 00:30 - 10.04.2017 00:45","40878","42559"
"10.04.2017 00:45 - 10.04.2017 01:00","40404","42157"
"10.04.2017 01:00 - 10.04.2017 01:15","39988","42063"
"10.04.2017 01:15 - 10.04.2017 01:30","39620","41528"
"10.04.2017 01:30 - 10.04.2017 01:45","39422","41315"
"10.04.2017 01:45 - 10.04.2017 02:00","39290","41180"
"10.04.2017 02:00 - 10.04.2017 02:15","39124","41020"
"10.04.2017 02:15 - 10.04.2017 02:30","38971","41143"
"10.04.2017 02:30 - 10.04.2017 02:45","39028","41112"
"10.04.2017 02:45 - 10.04.2017 03:00","39157","41439"
"10.04.2017 03:00 - 10.04.2017 03:15","39454","41768"
"10.04.2017 03:15 - 10.04.2017 03:30","39327","41844"
"10.04.2017 03:30 - 10.04.2017 03:45","39861","42102"
"10.04.2017 03:45 - 10.04.2017 04:00","39910","42355"
"10.04.2017 04:00 - 10.04.2017 04:15","40842","43124"
"10.04.2017 04:15 - 10.04.2017 04:30","41255","43847"
"10.04.2017 04:30 - 10.04.2017 04:45","41691","44651"
"10.04.2017 04:45 - 10.04.2017 05:00","42529","45397"
"10.04.2017 05:00 - 10.04.2017 05:15","44040","47172"
"10.04.2017 05:15 - 10.04.2017 05:30","44779","47661"
"10.04.2017 05:30 - 10.04.2017 05:45","46483","48967"
"10.04.2017 05:45 - 10.04.2017 06:00","48359","50753"
"10.04.2017 06:00 - 10.04.2017 06:15","52092","53230"
"10.04.2017 06:15 - 10.04.2017 06:30","54342","54795"
"10.04.2017 06:30 - 10.04.2017 06:45","56190","55521"
"10.04.2017 06:45 - 10.04.2017 07:00","57673","57561"
"10.04.2017 07:00 - 10.04.2017 07:15","59434","59422"
"10.04.2017 07:15 - 10.04.2017 07:30","60629","61048"
"10.04.2017 07:30 - 10.04.2017 07:45","61480","62153"
"10.04.2017 07:45 - 10.04.2017 08:00","62441","63534"
"10.04.2017 08:00 - 10.04.2017 08:15","63632","64489"
"10.04.2017 08:15 - 10.04.2017 08:30","64002","65624"
"10.04.2017 08:30 - 10.04.2017 08:45","64367","66124"
"10.04.2017 08:45 - 10.04.2017 09:00","64540","66432"
"10.04.2017 09:00 - 10.04.2017 09:15","64167","66691"
"10.04.2017 09:15 - 10.04.2017 09:30","64580","67385"
"10.04.2017 09:30 - 10.04.2017 09:45","64981","68115"
"10.04.2017 09:45 - 10.04.2017 10:00","65188","68856"
"10.04.2017 10:00 - 10.04.2017 10:15","65489","69033"
"10.04.2017 10:15 - 10.04.2017 10:30","66186","69595"
"10.04.2017 10:30 - 10.04.2017 10:45","66559","69938"
"10.04.2017 10:45 - 10.04.2017 11:00","66829","70131"
"10.04.2017 11:00 - 10.04.2017 11:15","67243","70594"
"10.04.2017 11:15 - 10.04.2017 11:30","67354","71099"
"10.04.2017 11:30 - 10.04.2017 11:45","67877","71198"
"10.04.2017 11:45 - 10.04.2017 12:00","67735","71126"
"10.04.2017 12:00 - 10.04.2017 12:15","67044","70126"
"10.04.2017 12:15 - 10.04.2017 12:30","66733","70743"
"10.04.2017 12:30 - 10.04.2017 12:45","67013","71125"
"10.04.2017 12:45 - 10.04.2017 13:00","66615","71089"
"10.04.2017 13:00 - 10.04.2017 13:15","66970","70623"
"10.04.2017 13:15 - 10.04.2017 13:30","66589","70224"
"10.04.2017 13:30 - 10.04.2017 13:45","65964","69408"
"10.04.2017 13:45 - 10.04.2017 14:00","65637","68863"
"10.04.2017 14:00 - 10.04.2017 14:15","65139","68972"
"10.04.2017 14:15 - 10.04.2017 14:30","64696","68912"
"10.04.2017 14:30 - 10.04.2017 14:45","64252","68019"
"10.04.2017 14:45 - 10.04.2017 15:00","64227","67731"
"10.04.2017 15:00 - 10.04.2017 15:15","63976","67375"
"10.04.2017 15:15 - 10.04.2017 15:30","63987","67507"
"10.04.2017 15:30 - 10.04.2017 15:45","63514","66384"
"10.04.2017 15:45 - 10.04.2017 16:00","62651","66089"
"10.04.2017 16:00 - 10.04.2017 16:15","62366","65697"
"10.04.2017 16:15 - 10.04.2017 16:30","61582","65322"
"10.04.2017 16:30 - 10.04.2017 16:45","60436","64595"
"10.04.2017 16:45 - 10.04.2017 17:00","61354","64631"
"10.04.2017 17:00 - 10.04.2017 17:15","61203","64506"
"10.04.2017 17:15 - 10.04.2017 17:30","60954","64457"
"10.04.2017 17:30 - 10.04.2017 17:45","60805","64499"
"10.04.2017 17:45 - 10.04.2017 18:00","60962","64416"
"10.04.2017 18:00 - 10.04.2017 18:15","60459","63690"
"10.04.2017 18:15 - 10.04.2017 18:30","60003","63618"
"10.04.2017 18:30 - 10.04.2017 18:45","60474","63820"
"10.04.2017 18:45 - 10.04.2017 19:00","60601","63883"
"10.04.2017 19:00 - 10.04.2017 19:15","60714","63493"
"10.04.2017 19:15 - 10.04.2017 19:30","60481","63261"
"10.04.2017 19:30 - 10.04.2017 19:45","60394","62895"
"10.04.2017 19:45 - 10.04.2017 20:00","60715","62865"
"10.04.2017 20:00 - 10.04.2017 20:15","60443","62683"
"10.04.2017 20:15 - 10.04.2017 20:30","59997","62460"
"10.04.2017 20:30 - 10.04.2017 20:45","59939","62195"
"10.04.2017 20:45 - 10.04.2017 21:00","59169","61318"
"10.04.2017 21:00 - 10.04.2017 21:15","58573","60338"
"10.04.2017 21:15 - 10.04.2017 21:30","57949","59613"
"10.04.2017 21:30 - 10.04.2017 21:45","57282","58734"
"10.04.2017 21:45 - 10.04.2017 22:00","55214","57628"
"10.04.2017 22:00 - 10.04.2017 22:15","54253","56701"
"10.04.2017 22:15 - 10.04.2017 22:30","53448","55644"
"10.04.2017 22:30 - 10.04.2017 22:45","52072","54372"
"10.04.2017 22:45 - 10.04.2017 23:00","51092","53070"
"10.04.2017 23:00 - 10.04.2017 23:15","49609","52165"
"10.04.2017 23:15 - 10.04.2017 23:30","48447","51148"
"10.04.2017 23:30 - 10.04.2017 23:45","47494","50184"
"10.04.2017 23:45 - 11.04.2017 00:00","46746","49186"
"11.04.2017 00:00 - 11.04.2017 00:15","46214","47887"
"11.04.2017 00:15 - 11.04.2017 00:30","45756","47667"
"11.04.2017 00:30 - 11.04.2017 00:45","45184","46759"
"11.04.2017 00:45 - 11.04.2017 01:00","44841","46085"
"11.04.2017 01:00 - 11.04.2017 01:15","44141","45729"
"11.04.2017 01:15 - 11.04.2017 01:30","43749","45335"
"11.04.2017 01:30 - 11.04.2017 01:45","43409","44889"
"11.04.2017 01:45 - 11.04.2017 02:00","43257","44751"
"11.04.2017 02:00 - 11.04.2017 02:15","42992","44305"
"11.04.2017 02:15 - 11.04.2017 02:30","42833","43763"
"11.04.2017 02:30 - 11.04.2017 02:45","42942","43989"
"11.04.2017 02:45 - 11.04.2017 03:00","42934","44351"
"11.04.2017 03:00 - 11.04.2017 03:15","43210","44760"
"11.04.2017 03:15 - 11.04.2017 03:30","43289","44846"
"11.04.2017 03:30 - 11.04.2017 03:45","43664","45315"
"11.04.2017 03:45 - 11.04.2017 04:00","44092","45593"
"11.04.2017 04:00 - 11.04.2017 04:15","44516","45987"
"11.04.2017 04:15 - 11.04.2017 04:30","44817","46432"
"11.04.2017 04:30 - 11.04.2017 04:45","45350","47209"
"11.04.2017 04:45 - 11.04.2017 05:00","45867","47831"
"11.04.2017 05:00 - 11.04.2017 05:15","47376","48967"
"11.04.2017 05:15 - 11.04.2017 05:30","47982","49518"
"11.04.2017 05:30 - 11.04.2017 05:45","49367","50437"
"11.04.2017 05:45 - 11.04.2017 06:00","50980","52073"
"11.04.2017 06:00 - 11.04.2017 06:15","54072","54786"
"11.04.2017 06:15 - 11.04.2017 06:30","55839","56413"
"11.04.2017 06:30 - 11.04.2017 06:45","56888","57394"
"11.04.2017 06:45 - 11.04.2017 07:00","58296","58677"
"11.04.2017 07:00 - 11.04.2017 07:15","60339","60622"
"11.04.2017 07:15 - 11.04.2017 07:30","61353","61458"
"11.04.2017 07:30 - 11.04.2017 07:45","62267","61552"
"11.04.2017 07:45 - 11.04.2017 08:00","63177","62624"
"11.04.2017 08:00 - 11.04.2017 08:15","64179","63094"
"11.04.2017 08:15 - 11.04.2017 08:30","64530","63614"
"11.04.2017 08:30 - 11.04.2017 08:45","64920","64183"
"11.04.2017 08:45 - 11.04.2017 09:00","64974","64370"
"11.04.2017 09:00 - 11.04.2017 09:15","64715","64668"
"11.04.2017 09:15 - 11.04.2017 09:30","65012","65631"
"11.04.2017 09:30 - 11.04.2017 09:45","65470","66610"
"11.04.2017 09:45 - 11.04.2017 10:00","65781","67223"
"11.04.2017 10:00 - 11.04.2017 10:15","65914","67524"
"11.04.2017 10:15 - 11.04.2017 10:30","66430","68056"
"11.04.2017 10:30 - 11.04.2017 10:45","66935","68690"
"11.04.2017 10:45 - 11.04.2017 11:00","67223","69136"
"11.04.2017 11:00 - 11.04.2017 11:15","67502","68795"
"11.04.2017 11:15 - 11.04.2017 11:30","67901","70082"
"11.04.2017 11:30 - 11.04.2017 11:45","68324","69722"
"11.04.2017 11:45 - 11.04.2017 12:00","67912","69457"
"11.04.2017 12:00 - 11.04.2017 12:15","67877","69409"
"11.04.2017 12:15 - 11.04.2017 12:30","67757","68930"
"11.04.2017 12:30 - 11.04.2017 12:45","67570","68719"
"11.04.2017 12:45 - 11.04.2017 13:00","67593","68802"
"11.04.2017 13:00 - 11.04.2017 13:15","67017","68527"
"11.04.2017 13:15 - 11.04.2017 13:30","67002","68332"
"11.04.2017 13:30 - 11.04.2017 13:45","66520","67907"
"11.04.2017 13:45 - 11.04.2017 14:00","65673","67323"
"11.04.2017 14:00 - 11.04.2017 14:15","65282","67039"
"11.04.2017 14:15 - 11.04.2017 14:30","64768","66534"
"11.04.2017 14:30 - 11.04.2017 14:45","64551","66069"
"11.04.2017 14:45 - 11.04.2017 15:00","64673","66069"
"11.04.2017 15:00 - 11.04.2017 15:15","64838","66520"
"11.04.2017 15:15 - 11.04.2017 15:30","63997","66371"
"11.04.2017 15:30 - 11.04.2017 15:45","63682","65654"
"11.04.2017 15:45 - 11.04.2017 16:00","63146","65380"
"11.04.2017 16:00 - 11.04.2017 16:15","62934","64859"
"11.04.2017 16:15 - 11.04.2017 16:30","62838","64394"
"11.04.2017 16:30 - 11.04.2017 16:45","62598","64293"
"11.04.2017 16:45 - 11.04.2017 17:00","61974","63816"
"11.04.2017 17:00 - 11.04.2017 17:15","61791","63924"
"11.04.2017 17:15 - 11.04.2017 17:30","61442","64284"
"11.04.2017 17:30 - 11.04.2017 17:45","61541","64273"
"11.04.2017 17:45 - 11.04.2017 18:00","61312","64311"
"11.04.2017 18:00 - 11.04.2017 18:15","60747","63729"
"11.04.2017 18:15 - 11.04.2017 18:30","60576","63433"
"11.04.2017 18:30 - 11.04.2017 18:45","60864","63488"
"11.04.2017 18:45 - 11.04.2017 19:00","61100","63369"
"11.04.2017 19:00 - 11.04.2017 19:15","61252","63271"
"11.04.2017 19:15 - 11.04.2017 19:30","61028","62885"
"11.04.2017 19:30 - 11.04.2017 19:45","60840","62935"
"11.04.2017 19:45 - 11.04.2017 20:00","60810","62412"
"11.04.2017 20:00 - 11.04.2017 20:15","60782","62213"
"11.04.2017 20:15 - 11.04.2017 20:30","60571","62013"
"11.04.2017 20:30 - 11.04.2017 20:45","60214","61856"
"11.04.2017 20:45 - 11.04.2017 21:00","59609","61249"
"11.04.2017 21:00 - 11.04.2017 21:15","58541","60790"
"11.04.2017 21:15 - 11.04.2017 21:30","57970","59932"
"11.04.2017 21:30 - 11.04.2017 21:45","56844","58704"
"11.04.2017 21:45 - 11.04.2017 22:00","55627","57203"
"11.04.2017 22:00 - 11.04.2017 22:15","54670","56809"
"11.04.2017 22:15 - 11.04.2017 22:30","54011","55950"
"11.04.2017 22:30 - 11.04.2017 22:45","52540","54768"
"11.04.2017 22:45 - 11.04.2017 23:00","51359","53476"
"11.04.2017 23:00 - 11.04.2017 23:15","50090","52258"
"11.04.2017 23:15 - 11.04.2017 23:30","48760","50971"
"11.04.2017 23:30 - 11.04.2017 23:45","47682","50111"
"11.04.2017 23:45 - 12.04.2017 00:00","47032","49333"
"12.04.2017 00:00 - 12.04.2017 00:15","47876","48239"
"12.04.2017 00:15 - 12.04.2017 00:30","47396","47755"
"12.04.2017 00:30 - 12.04.2017 00:45","46842","47224"
"12.04.2017 00:45 - 12.04.2017 01:00","46191","46259"
"12.04.2017 01:00 - 12.04.2017 01:15","45588","45857"
"12.04.2017 01:15 - 12.04.2017 01:30","45141","45675"
"12.04.2017 01:30 - 12.04.2017 01:45","44809","45362"
"12.04.2017 01:45 - 12.04.2017 02:00","44540","45308"
"12.04.2017 02:00 - 12.04.2017 02:15","44283","44901"
"12.04.2017 02:15 - 12.04.2017 02:30","43996","44406"
"12.04.2017 02:30 - 12.04.2017 02:45","44035","44388"
"12.04.2017 02:45 - 12.04.2017 03:00","44069","44664"
"12.04.2017 03:00 - 12.04.2017 03:15","44374","44698"
"12.04.2017 03:15 - 12.04.2017 03:30","44479","44989"
"12.04.2017 03:30 - 12.04.2017 03:45","44809","44875"
"12.04.2017 03:45 - 12.04.2017 04:00","44858","45178"
"12.04.2017 04:00 - 12.04.2017 04:15","45540","46025"
"12.04.2017 04:15 - 12.04.2017 04:30","45809","46250"
"12.04.2017 04:30 - 12.04.2017 04:45","46418","46840"
"12.04.2017 04:45 - 12.04.2017 05:00","47033","47357"
"12.04.2017 05:00 - 12.04.2017 05:15","48345","48703"
"12.04.2017 05:15 - 12.04.2017 05:30","48964","49270"
"12.04.2017 05:30 - 12.04.2017 05:45","50389","50289"
"12.04.2017 05:45 - 12.04.2017 06:00","51701","51713"
"12.04.2017 06:00 - 12.04.2017 06:15","54246","54600"
"12.04.2017 06:15 - 12.04.2017 06:30","56125","56887"
"12.04.2017 06:30 - 12.04.2017 06:45","57682","58152"
"12.04.2017 06:45 - 12.04.2017 07:00","58641","59200"
"12.04.2017 07:00 - 12.04.2017 07:15","60548","60907"
"12.04.2017 07:15 - 12.04.2017 07:30","61801","61802"
"12.04.2017 07:30 - 12.04.2017 07:45","62782","62779"
"12.04.2017 07:45 - 12.04.2017 08:00","63783","64001"
"12.04.2017 08:00 - 12.04.2017 08:15","64566","64720"
"12.04.2017 08:15 - 12.04.2017 08:30","65289","65624"
"12.04.2017 08:30 - 12.04.2017 08:45","65849","66208"
"12.04.2017 08:45 - 12.04.2017 09:00","66000","66252"
"12.04.2017 09:00 - 12.04.2017 09:15","65844","66214"
"12.04.2017 09:15 - 12.04.2017 09:30","66275","66865"
"12.04.2017 09:30 - 12.04.2017 09:45","67154","67317"
"12.04.2017 09:45 - 12.04.2017 10:00","67388","67707"
"12.04.2017 10:00 - 12.04.2017 10:15","67313","67709"
"12.04.2017 10:15 - 12.04.2017 10:30","67918","68005"
"12.04.2017 10:30 - 12.04.2017 10:45","68188","68403"
"12.04.2017 10:45 - 12.04.2017 11:00","68582","68953"
"12.04.2017 11:00 - 12.04.2017 11:15","68882","68924"
"12.04.2017 11:15 - 12.04.2017 11:30","69546","69427"
"12.04.2017 11:30 - 12.04.2017 11:45","69646","70259"
"12.04.2017 11:45 - 12.04.2017 12:00","68995","70350"
"12.04.2017 12:00 - 12.04.2017 12:15","68955","69705"
"12.04.2017 12:15 - 12.04.2017 12:30","69247","69956"
"12.04.2017 12:30 - 12.04.2017 12:45","69232","70193"
"12.04.2017 12:45 - 12.04.2017 13:00","69266","70186"
"12.04.2017 13:00 - 12.04.2017 13:15","69008","70363"
"12.04.2017 13:15 - 12.04.2017 13:30","68854","70339"
"12.04.2017 13:30 - 12.04.2017 13:45","68422","69884"
"12.04.2017 13:45 - 12.04.2017 14:00","67921","69173"
"12.04.2017 14:00 - 12.04.2017 14:15","67254","69662"
"12.04.2017 14:15 - 12.04.2017 14:30","66880","70057"
"12.04.2017 14:30 - 12.04.2017 14:45","66401","69656"
"12.04.2017 14:45 - 12.04.2017 15:00","66810","69455"
"12.04.2017 15:00 - 12.04.2017 15:15","66871","69527"
"12.04.2017 15:15 - 12.04.2017 15:30","66438","69172"
"12.04.2017 15:30 - 12.04.2017 15:45","65697","69058"
"12.04.2017 15:45 - 12.04.2017 16:00","65225","68157"
"12.04.2017 16:00 - 12.04.2017 16:15","64766","67701"
"12.04.2017 16:15 - 12.04.2017 16:30","64557","67454"
"12.04.2017 16:30 - 12.04.2017 16:45","64341","67379"
"12.04.2017 16:45 - 12.04.2017 17:00","63634","67375"
"12.04.2017 17:00 - 12.04.2017 17:15","63424","67065"
"12.04.2017 17:15 - 12.04.2017 17:30","63433","66784"
"12.04.2017 17:30 - 12.04.2017 17:45","63451","66859"
"12.04.2017 17:45 - 12.04.2017 18:00","63329","66901"
"12.04.2017 18:00 - 12.04.2017 18:15","63242","66146"
"12.04.2017 18:15 - 12.04.2017 18:30","62911","65497"
"12.04.2017 18:30 - 12.04.2017 18:45","62923","65418"
"12.04.2017 18:45 - 12.04.2017 19:00","62865","65984"
"12.04.2017 19:00 - 12.04.2017 19:15","63106","65837"
"12.04.2017 19:15 - 12.04.2017 19:30","62755","64953"
"12.04.2017 19:30 - 12.04.2017 19:45","62396","64626"
"12.04.2017 19:45 - 12.04.2017 20:00","62531","64025"
"12.04.2017 20:00 - 12.04.2017 20:15","61854","64104"
"12.04.2017 20:15 - 12.04.2017 20:30","61460","63172"
"12.04.2017 20:30 - 12.04.2017 20:45","61173","63116"
"12.04.2017 20:45 - 12.04.2017 21:00","60636","62341"
"12.04.2017 21:00 - 12.04.2017 21:15","59678","61525"
"12.04.2017 21:15 - 12.04.2017 21:30","59226","60675"
"12.04.2017 21:30 - 12.04.2017 21:45","58222","59640"
"12.04.2017 21:45 - 12.04.2017 22:00","57155","58278"
"12.04.2017 22:00 - 12.04.2017 22:15","56556","58119"
"12.04.2017 22:15 - 12.04.2017 22:30","55607","56969"
"12.04.2017 22:30 - 12.04.2017 22:45","54349","55962"
"12.04.2017 22:45 - 12.04.2017 23:00","53105","54682"
"12.04.2017 23:00 - 12.04.2017 23:15","51525","53403"
"12.04.2017 23:15 - 12.04.2017 23:30","50561","52851"
"12.04.2017 23:30 - 12.04.2017 23:45","49574","51668"
"12.04.2017 23:45 - 13.04.2017 00:00","48567","50419"
"13.04.2017 00:00 - 13.04.2017 00:15","46989","49079"
"13.04.2017 00:15 - 13.04.2017 00:30","46370","48039"
"13.04.2017 00:30 - 13.04.2017 00:45","45820","47647"
"13.04.2017 00:45 - 13.04.2017 01:00","45105","47326"
"13.04.2017 01:00 - 13.04.2017 01:15","44470","46449"
"13.04.2017 01:15 - 13.04.2017 01:30","43998","46226"
"13.04.2017 01:30 - 13.04.2017 01:45","43756","45964"
"13.04.2017 01:45 - 13.04.2017 02:00","43654","45592"
"13.04.2017 02:00 - 13.04.2017 02:15","43435","45014"
"13.04.2017 02:15 - 13.04.2017 02:30","43234","44780"
"13.04.2017 02:30 - 13.04.2017 02:45","43302","45062"
"13.04.2017 02:45 - 13.04.2017 03:00","43287","45097"
"13.04.2017 03:00 - 13.04.2017 03:15","43379","45176"
"13.04.2017 03:15 - 13.04.2017 03:30","43449","45281"
"13.04.2017 03:30 - 13.04.2017 03:45","43714","45500"
"13.04.2017 03:45 - 13.04.2017 04:00","43661","45562"
"13.04.2017 04:00 - 13.04.2017 04:15","44171","46171"
"13.04.2017 04:15 - 13.04.2017 04:30","44236","46477"
"13.04.2017 04:30 - 13.04.2017 04:45","44951","47090"
"13.04.2017 04:45 - 13.04.2017 05:00","45458","47464"
"13.04.2017 05:00 - 13.04.2017 05:15","46714","48587"
"13.04.2017 05:15 - 13.04.2017 05:30","47231","49226"
"13.04.2017 05:30 - 13.04.2017 05:45","48472","50419"
"13.04.2017 05:45 - 13.04.2017 06:00","49707","51653"
"13.04.2017 06:00 - 13.04.2017 06:15","52086","54648"
"13.04.2017 06:15 - 13.04.2017 06:30","54183","56446"
"13.04.2017 06:30 - 13.04.2017 06:45","55257","57536"
"13.04.2017 06:45 - 13.04.2017 07:00","56579","58869"
"13.04.2017 07:00 - 13.04.2017 07:15","58177","60565"
"13.04.2017 07:15 - 13.04.2017 07:30","59121","61446"
"13.04.2017 07:30 - 13.04.2017 07:45","59888","62554"
"13.04.2017 07:45 - 13.04.2017 08:00","60922","63366"
"13.04.2017 08:00 - 13.04.2017 08:15","61762","64472"
"13.04.2017 08:15 - 13.04.2017 08:30","62363","64832"
"13.04.2017 08:30 - 13.04.2017 08:45","62680","65243"
"13.04.2017 08:45 - 13.04.2017 09:00","62995","65433"
"13.04.2017 09:00 - 13.04.2017 09:15","63193","65293"
"13.04.2017 09:15 - 13.04.2017 09:30","63922","66228"
"13.04.2017 09:30 - 13.04.2017 09:45","64760","66960"
"13.04.2017 09:45 - 13.04.2017 10:00","64912","67669"
"13.04.2017 10:00 - 13.04.2017 10:15","65372","67674"
"13.04.2017 10:15 - 13.04.2017 10:30","66022","68092"
"13.04.2017 10:30 - 13.04.2017 10:45","66567","68174"
"13.04.2017 10:45 - 13.04.2017 11:00","66807","68488"
"13.04.2017 11:00 - 13.04.2017 11:15","67091","68995"
"13.04.2017 11:15 - 13.04.2017 11:30","67499","69346"
"13.04.2017 11:30 - 13.04.2017 11:45","67790","69580"
"13.04.2017 11:45 - 13.04.2017 12:00","67559","69478"
"13.04.2017 12:00 - 13.04.2017 12:15","67199","69086"
"13.04.2017 12:15 - 13.04.2017 12:30","66944","69338"
"13.04.2017 12:30 - 13.04.2017 12:45","66550","68283"
"13.04.2017 12:45 - 13.04.2017 13:00","66633","68757"
"13.04.2017 13:00 - 13.04.2017 13:15","66260","69221"
"13.04.2017 13:15 - 13.04.2017 13:30","66042","68089"
"13.04.2017 13:30 - 13.04.2017 13:45","65625","67312"
"13.04.2017 13:45 - 13.04.2017 14:00","64784","67216"
"13.04.2017 14:00 - 13.04.2017 14:15","64507","67273"
"13.04.2017 14:15 - 13.04.2017 14:30","64054","66968"
"13.04.2017 14:30 - 13.04.2017 14:45","63676","66532"
"13.04.2017 14:45 - 13.04.2017 15:00","63805","65689"
"13.04.2017 15:00 - 13.04.2017 15:15","64024","65635"
"13.04.2017 15:15 - 13.04.2017 15:30","63284","65042"
"13.04.2017 15:30 - 13.04.2017 15:45","62621","64775"
"13.04.2017 15:45 - 13.04.2017 16:00","62155","64473"
"13.04.2017 16:00 - 13.04.2017 16:15","61963","64325"
"13.04.2017 16:15 - 13.04.2017 16:30","62144","63820"
"13.04.2017 16:30 - 13.04.2017 16:45","61867","63640"
"13.04.2017 16:45 - 13.04.2017 17:00","60909","63038"
"13.04.2017 17:00 - 13.04.2017 17:15","60805","63380"
"13.04.2017 17:15 - 13.04.2017 17:30","60775","63612"
"13.04.2017 17:30 - 13.04.2017 17:45","60965","63616"
"13.04.2017 17:45 - 13.04.2017 18:00","60962","63896"
"13.04.2017 18:00 - 13.04.2017 18:15","60483","63418"
"13.04.2017 18:15 - 13.04.2017 18:30","60275","63134"
"13.04.2017 18:30 - 13.04.2017 18:45","60188","62891"
"13.04.2017 18:45 - 13.04.2017 19:00","60055","62379"
"13.04.2017 19:00 - 13.04.2017 19:15","60204","62365"
"13.04.2017 19:15 - 13.04.2017 19:30","59813","61537"
"13.04.2017 19:30 - 13.04.2017 19:45","59578","61054"
"13.04.2017 19:45 - 13.04.2017 20:00","59692","61037"
"13.04.2017 20:00 - 13.04.2017 20:15","59431","60665"
"13.04.2017 20:15 - 13.04.2017 20:30","58708","60178"
"13.04.2017 20:30 - 13.04.2017 20:45","58750","60086"
"13.04.2017 20:45 - 13.04.2017 21:00","58409","59049"
"13.04.2017 21:00 - 13.04.2017 21:15","57505","58128"
"13.04.2017 21:15 - 13.04.2017 21:30","56970","56911"
"13.04.2017 21:30 - 13.04.2017 21:45","56130","55882"
"13.04.2017 21:45 - 13.04.2017 22:00","54619","54665"
"13.04.2017 22:00 - 13.04.2017 22:15","54157","54531"
"13.04.2017 22:15 - 13.04.2017 22:30","53569","53076"
"13.04.2017 22:30 - 13.04.2017 22:45","52433","52046"
"13.04.2017 22:45 - 13.04.2017 23:00","51358","51091"
"13.04.2017 23:00 - 13.04.2017 23:15","50126","49883"
"13.04.2017 23:15 - 13.04.2017 23:30","48967","48784"
"13.04.2017 23:30 - 13.04.2017 23:45","48159","48092"
"13.04.2017 23:45 - 14.04.2017 00:00","47195","47150"
"14.04.2017 00:00 - 14.04.2017 00:15","45119","45719"
"14.04.2017 00:15 - 14.04.2017 00:30","44932","45227"
"14.04.2017 00:30 - 14.04.2017 00:45","43960","44603"
"14.04.2017 00:45 - 14.04.2017 01:00","43465","44123"
"14.04.2017 01:00 - 14.04.2017 01:15","42538","43343"
"14.04.2017 01:15 - 14.04.2017 01:30","42088","42961"
"14.04.2017 01:30 - 14.04.2017 01:45","41593","42765"
"14.04.2017 01:45 - 14.04.2017 02:00","41523","42379"
"14.04.2017 02:00 - 14.04.2017 02:15","40888","41956"
"14.04.2017 02:15 - 14.04.2017 02:30","40367","41477"
"14.04.2017 02:30 - 14.04.2017 02:45","40487","41425"
"14.04.2017 02:45 - 14.04.2017 03:00","40406","41563"
"14.04.2017 03:00 - 14.04.2017 03:15","40409","41391"
"14.04.2017 03:15 - 14.04.2017 03:30","40255","41519"
"14.04.2017 03:30 - 14.04.2017 03:45","40238","41392"
"14.04.2017 03:45 - 14.04.2017 04:00","40239","41338"
"14.04.2017 04:00 - 14.04.2017 04:15","40386","41638"
"14.04.2017 04:15 - 14.04.2017 04:30","40420","41550"
"14.04.2017 04:30 - 14.04.2017 04:45","40473","41250"
"14.04.2017 04:45 - 14.04.2017 05:00","40407","41129"
"14.04.2017 05:00 - 14.04.2017 05:15","40573","41088"
"14.04.2017 05:15 - 14.04.2017 05:30","40131","40521"
"14.04.2017 05:30 - 14.04.2017 05:45","39904","40459"
"14.04.2017 05:45 - 14.04.2017 06:00","39672","39712"
"14.04.2017 06:00 - 14.04.2017 06:15","39257","39331"
"14.04.2017 06:15 - 14.04.2017 06:30","38753","39697"
