DK onwind,DK offwind,DK solar,DK ocgt,NO onwind,NO offwind,NO solar,NO ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,NO onwind g,NO offwind g,NO solar g,NO ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,NO-DK,NO-SE,SE-DK,co2_emission,objective_value,transmission,gini
33558.8819634,1.21088404399e-08,3.55616562016e-08,13497.1532254,17603.5640102,1.7178647018e-08,1.85193541436e-08,16425.6384362,1.77198968194e-07,1.40905665074e-08,3.58423329811e-08,16348.6210729,127167615.236361,4.368758102175503e-05,2.4275694960812158e-05,31371659.580406316,38792727.00462579,5.4369803204552443e-05,9.555287787312807e-06,49672369.16894363,0.00041789262744707087,4.577297518646685e-05,2.503463280000471e-05,49647160.009036265,8107.60265626,1.2844975138e-07,16014.9999997,62731770.60402553,18063352362.739456,24122.60265608845,0.4879840203020144
37048.7339868,8.80967073871e-06,2.20961967907e-05,13647.5494432,16513.0962702,1.2225749385e-05,1.26712739897e-05,16038.0803582,1142.00809752,1.04666551328e-05,2.22106210609e-05,16328.3052723,136408138.75482792,0.030905850927180845,0.014603780181257046,30076823.273615275,35775914.56209109,0.0379203870548521,0.0062982377626400205,45023493.56324377,2749522.8489923957,0.033199089254118734,0.014858619729618735,46617637.859455146,9251.61762321,6.79313024086e-05,16052.4391805,58424618.25423067,18063352362.73858,25304.056871641304,0.5030603536240821
33558.8819091,1.47750067507e-06,4.05706832285e-06,13497.6197345,17603.5639664,2.12503283985e-06,2.13785179761e-06,16424.6877668,2.11075957411e-05,1.7439736517e-06,4.01965904965e-06,16349.1052341,127166988.40251748,0.00537456392786171,0.002770631535719345,31370754.154453326,38793353.60683876,0.0067737310552706265,0.0010843139816330948,49667172.30515257,0.049825027725449375,0.00570888881328156,0.0027880914319179627,49653262.456715375,8107.6026558,1.45094044381e-05,16014.9999683,62731770.67983398,18063352362.725857,24122.602638609405,0.4879631012612977
33558.8818902,2.58267546418e-06,6.76723255786e-06,13510.2347741,17603.5639341,3.75251581824e-06,3.59531993446e-06,16423.3563351,3.61215255405e-05,3.08145808384e-06,6.61703581289e-06,16337.8216256,127152506.627081,0.009457953633334472,0.004629638032318892,31486602.521826807,38807835.25613871,0.012031446933722134,0.0017983100838520152,49622363.14630102,0.08537859088414501,0.01015029082312497,0.00456871763862458,49582223.32064138,8107.60265523,2.43076651553e-05,16014.9999429,62731770.714609735,18063352362.73012,24122.602622437666,0.4883563450102454
40474.0201597,4.09048721469e-06,4.07823995761e-06,13858.1749703,2.35992430161e-05,5.26499805773e-06,4.36650300746e-06,15100.0438231,19556.3279431,3.81038219113e-06,4.72686222389e-06,18006.3168361,138757119.6252837,0.01384672813467095,0.002370364595834662,27084618.14884803,0.04206281797155675,0.01613343499307363,0.002014241799505232,34398087.37649003,48314314.423711896,0.011054090640596306,0.0028230860593761865,48097391.335386395,16549.9999229,0.0018800974791,9222.60843692,52598446.493147746,18063352362.74185,25772.610239917478,0.52305928106301
24138.5860239,1.63472306553e-08,2.14298148182e-08,11697.3809771,5.57211323995e-08,1.96694758061e-08,1.9625020999e-08,14189.0525986,31132.7020047,1.96689026559e-08,2.00119217506e-08,20743.9155579,90962834.23413384,6.219963705449152e-05,1.3490405583175146e-05,26185039.511423588,0.00010411652187214635,6.282961912092318e-05,9.167678981523075e-06,40092112.353770204,77086210.43700795,6.0322332801643106e-05,1.1668057717949334e-05,62325334.46332768,14827.7668471,848.233152976,1957.68373708,61729193.43768859,18063352362.738792,17633.683737156,0.4101005102302777
20321.3023341,8.16855542384e-09,1.44218161832e-08,10509.1730122,5.20167161062e-08,1.36617627747e-08,1.49344876543e-08,14965.967953,13548.5622184,1.02912715242e-08,1.81323785021e-08,22751.8295578,81073198.79037009,3.163401194071058e-05,9.646740480057274e-06,24597932.810128152,0.00010848492384444494,4.700048075930193e-05,8.124537883354572e-06,55810860.69108445,35941470.34459757,3.570628575222621e-05,1.2652377006605954e-05,99228068.36355585,12447.0034627,3.30334830006e-08,2184.61449185,86225693.69508815,18063352362.721718,14631.617954583033,0.34066499670118455
40474.0201608,3017.4204857,1.20759808229e-07,15527.3381049,1.26810196866e-08,1.1621573469e-08,7.56522257278e-08,17200.3782148,2.42446957481e-08,1.89679035355e-08,1.44935195932e-07,18376.3015263,156209353.64202535,9760317.607928501,8.034584552721757e-05,33571047.636112034,1.608910471827075e-05,2.8388149553893727e-05,3.800894886001574e-05,44829463.515620425,3.9765927450908915e-05,5.2247988722055844e-05,9.944130166831081e-05,52281348.59796194,15573.0,1.6038451322e-07,16184.0,62727292.67984886,18063352362.738106,31757.000000160384,0.5584353662199619
33558.8819638,1.83328660029e-08,4.86660357672e-08,13502.9761172,17603.56401,2.65543943002e-08,2.5735533408e-08,16423.2640819,2.56731756231e-07,2.18037710229e-08,4.76781603853e-08,16345.1725353,127161952.58733204,6.698125244746398e-05,3.326651249086238e-05,31407168.346342,38798389.654651664,8.498743297173274e-05,1.2938818152695817e-05,49649128.1643074,0.0006063862030264109,7.170133502886137e-05,3.295824442590215e-05,49634892.246467404,8107.60265672,1.69594748019e-07,16014.9999997,62731770.603414886,18063352362.73052,24122.602656589595,0.4880740509070256
40474.0201607,6.34396311244e-07,1.35344205926e-06,13789.3646077,15219.8524972,8.32370403431e-07,8.44849822525e-07,16060.9786241,1.96673636376e-06,5.61902442793e-07,1.45378152133e-06,16102.6874028,145945755.09980038,0.0022344993883261287,0.0008830469329035519,29902159.99812249,32752806.34251048,0.0025857441341949404,0.0004152360363215013,43930329.35793363,0.0041027771414089975,0.0017339397209701589,0.0009584475670429402,44120480.18872235,10026.3991127,4.76170040623e-06,16994.0000057,56617425.3814931,18063352362.72156,27020.3991231617,0.5354672739541808
