DK onwind,DK offwind,DK solar,DK ocgt,SE onwind,SE offwind,SE solar,SE ocgt,DK onwind g,DK offwind g,DK solar g,DK ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,SE-DK,co2_emission,objective_value,transmission,gini
10723.2037068,1.62366108602e-06,2.84902217359e-06,8244.16964178,9639.21653276,2.12629868933e-06,3.53108512833e-06,19746.2774331,42554428.32527056,0.006282661017430713,0.0019037710757181978,18837997.151528664,25563478.0621311,0.007407859983844586,0.002448350254373117,86545214.44302535,5530.57166729,50583941.565385625,10566727679.81294,5530.57166729,0.15446748582326852
17062.1451741,2.0388418345e-06,8.17746703645e-06,11901.4433175,6.15328228941e-06,1.91717976757e-06,9.71523723065e-06,18507.440491,68041347.51022851,0.007959217104120722,0.006006835712606744,28628022.219592843,0.014477084321170126,0.006437396582170376,0.007376375470201326,76831748.22792794,11392.1239045,50620689.81480972,10566727679.827732,11392.1239045,0.35779150278319216
25896.2666533,2.30696079473e-07,5.73407387921e-07,12158.6235062,9573.28392942,2.35305599812e-07,6.31166783049e-07,15414.3639214,87271665.18715374,0.0007494864210233183,0.0003617407675144772,22728305.695855983,23241694.57818783,0.0006787857169775058,0.0004101294487143819,40259452.53658897,13190.8455873,30234123.95157463,10566727679.82351,13190.8455873,0.43462444365418673
10898.1166629,4.83811506167e-07,6.62232732428e-07,7980.57515265,21386.2556461,6.216044166e-07,8.75451723263e-07,19621.1132651,40027981.70256854,0.001718122997116442,0.0004078331558204536,15862441.88402686,54827493.37334895,0.0019569408360877913,0.00056889363557186,62783201.035403624,4691.43782161,37749908.601325326,10566727679.841995,4691.43782161,0.12275586367530744
30929.4943933,4.15926267108e-10,1.16544774219e-09,13832.8258916,5.00459981182e-09,4.00024073206e-10,1.26834675244e-09,16344.242097,106188798.55214222,1.3622173634509187e-06,7.491648484118811e-07,26321122.218934707,1.0724931984746999e-05,1.1753070543978172e-06,8.366341119420715e-07,40991197.22891608,17504.0000004,32309913.33496877,10566727679.828726,17504.0000004,0.5643639528079182
10723.2036935,1.67251357726e-08,2.82728147214e-08,8260.63205077,9639.21652562,2.23545274589e-08,3.75332489488e-08,19729.8150269,42555018.75300289,6.51858333178583e-05,1.886863932872291e-05,19048990.43724722,25562887.682885606,7.856849489912442e-05,2.6214929892918302e-05,86334221.12668136,5530.57177388,50583941.550685614,10566727679.819733,5530.57177388,0.15568698058955477
30929.4943894,2.99225430343e-07,8.36509571046e-07,13858.6244318,5.51724208716e-07,2.07179564247e-07,9.00164626253e-07,16318.4435559,106188798.54616098,0.000988586434507964,0.000538701382505885,26421393.806569703,0.001063160445117075,0.0005920713269001735,0.0005928965791776149,40890925.64348895,17504.0000019,32309913.336026743,10566727679.824268,17504.0000019,0.5649418832809006
10723.2037069,1.64464111768e-06,2.8930932519e-06,8253.27741925,9639.21653298,2.14095290883e-06,3.57533281191e-06,19737.1696557,42554213.495355025,0.00638038640643626,0.001934724204890731,18959279.642363433,25563692.893098738,0.0074688035782373005,0.002478496060564545,86423931.95091899,5530.57166769,50583941.56477548,10566727679.825575,5530.57166769,0.15516527764411325
30929.4551629,2.64406238042e-06,7.77319590143e-06,13391.2225758,2.8485044637e-10,2.84821098861e-10,9.11406367992e-06,16785.8460149,106181927.2591958,0.008649219435629194,0.005010420901456922,22326103.76057981,3.7801340277982447e-07,5.931122658107539e-07,0.006090531023436591,44993086.96048171,17497.0033538,32313211.546107505,10566727679.82153,17497.0033538,0.5412984545346213
25896.2666538,1.71192907786e-07,4.38962034515e-07,11858.9656029,9573.28392973,1.73911009898e-07,5.0875861834e-07,15714.0218247,87282077.68129864,0.0005569130537978494,0.0002770553776560277,22183078.264108043,23231282.63469629,0.0005000674623852532,0.00033493732325609,40804679.418236166,13190.8461539,30234123.687526274,10566727679.818178,13190.8461539,0.4315419566704781
30929.4943826,5.85692575572e-07,1.60067564543e-06,13832.8656474,7.10420798114e-06,5.71987497537e-07,1.72988841719e-06,16344.2023377,106188798.66787092,0.0019440916373935342,0.0010291499952827438,26321223.392547667,0.01534756796646428,0.0017084752145560941,0.0011370528577675015,40991095.91842512,17504.0001426,32309913.26926665,10566727679.8218,17504.0001426,0.5643645366215113
17062.1451531,1.80322882269e-08,7.07584306124e-08,11898.8256864,2.257439964e-07,2.25653929422e-08,7.86226061623e-08,18510.0581315,68041276.54898116,7.266467162949854e-05,5.197670694848086e-05,28602427.781163517,0.0005794606370100951,8.114604876334472e-05,5.9026802300804135e-05,76857413.66904248,11392.0507354,50620723.8960992,10566727679.814613,11392.0507354,0.3576435762808847
10898.1183513,2.70370511019e-09,3.79302601218e-09,7980.23095461,21386.2556571,3.4796396568e-09,5.0935208567e-09,19621.4572817,40025182.19880806,9.625517513869213e-06,2.344544933968404e-06,15850293.400881618,54830298.12994227,1.0976745775238173e-05,3.3279875508811346e-06,62795344.270339444,4691.43929732,37749906.08218622,10566727679.811047,4691.43929732,0.12266970867416771
10723.2036938,5.9771565688e-08,1.02863022282e-07,8273.35408367,9639.21652585,7.98615393429e-08,1.38030658509e-07,19717.0929939,42555032.453314036,0.0002324497424071538,6.880500732133562e-05,19080405.76366024,25562874.04541875,0.00028016588438382114,9.681557067776598e-05,86302805.73692495,5530.57183727,50583941.52028101,10566727679.818583,5530.57183727,0.1558681265516506
10723.2036934,7.56462029047e-10,1.34013511766e-09,8273.34366771,9639.21652551,9.89093117885e-10,1.68500378281e-09,19717.10341,42554387.307603054,2.9274045130428263e-06,8.976448140966618e-07,18926246.77136409,25563519.012202587,3.4449535006875963e-06,1.1741680094111667e-06,86456964.90881503,5530.57165485,50583941.60648629,10566727679.829948,5530.57165485,0.15497588942898555
